Abdullah Gul	Abdullah Gül
Frank W Mondial	Franklin Wheeler Mondell
Mikhail Saakashvili	Mikheil Saakashvili
Chancellor of the Exchequer	Chancellor of the Exchequer
TABOO	Taboo
Ichihara	Ichihara Chiba
Vice President Executive Yuan	List of vice premiers of the Republic of China
Daman language	Tamangic languages
Malaysian Chinese	Malaysian Mandarin
Jiang Ning	Jiang Ning
Song Meiling	Soong Meiling
Duns Scott	Duns Scotus
Kenneth Hall	Kenneth O Hall
Chen Delin	Norman Chan
Roll over Egg Fried Rice	Rolling Love
Kurdistan Province	Kurdistan Province
Zhanyu	Cham language
Queen Yangmin	Empress Xiao
James Clark Maxwell	James Clerk Maxwell
The German November Revolution	German Revolution of 191819
North Frisian	North Frisian language
Ludwig Boltzmann	Ludwig Boltzmann
JScriptNET	JScriptNET
Eric Lechaji	Eric Lichaj
Kenneth Kaunda	Kenneth Kaunda
Hermes Rodriguez da Fonseca	Hermes da Fonseca
Nokia Lumia 530	Nokia Lumia 530
⊿	Triangle
everywhere	Overexposed
Emile Lahoud	Émile Lahoud
Tom Ford	Tom Ford
KC135 aerial tanker	Boeing KC135 Stratotanker
Mississippi	Mississippi
Alexander III	Pope Alexander III
Cai Chuchuan	Cai Chuchuan
Goban Guyabanlov	Gurban Gurbanov
SinoTibetan Language Department	SinoTibetan languages
Roque Junior	Roque Júnior
Aleksey Berezutsky	Aleksei Berezutski
LOVE 2000	Love 2000
George Stoneman	George Stoneman
Akiko Taniguchi	Shogo Taniguchi
Maebashi City	Maebashi
Staffordshire	Staffordshire
Yokoyama Yui	Yui Yokoyama
Andy Lau	Andy Lau
United Airlines	United Airlines
Dorgon	Dorgon
ALGOL 68	ALGOL 68
Nizu Martin	Nigel Martyn
The Borgia Family	House of Borgia
Andrei Antonovich Grechko	Andrei Grechko
Sui Dynasty	Sui dynasty
Murray Rothbard	Murray Rothbard
HBO	HBO
North Week	Northern Zhou
US Virgin Islands	United States Virgin Islands
University of Glasgow	University of Glasgow
Zheng Yaotang	Cheng Yiutong
MIUI	MIUI
Bishkek	Bishkek
Serapan Nathan	S R Nathan
ABBA	ABBA
Independent Athletic Club	Club Atlético Independiente
Josip Delmic	Josip Drmić
Quang Binh Province	Quảng Bình Province
20142015 Europa League	201415 UEFA Europa League
Philippines National Football Team	Philippines national football team
beaver	Beaver
Wan Qiwen	Joey Meng
Matsumoto	Matsumoto Nagano
Nguyen Van Nhan	Pierre Nguyễn Văn Nhơn
Bao Dadi	Bảo Đại
Kemu	Khmu people
Lu Taiyu	Roh Taewoo
Muammar Gaddafi	Muammar Gaddafi
Oda Nobunaga	Oda Nobunaga
Hadi Awang	Abdul Hadi Awang
Almeria Sports Federation	UD Almería
Luo Wenjia	Luo Wenjia
LOVE Destiny	Love
Qingwu Hongsi	Hiroshi Kiyotake
Changhua County	Changhua County
Bozhou	Bozhou
Ledley King	Ledley King
Minardi Team	Minardi
Piplan Day	Puplinge
New York Red Bull	New York Red Bulls
Kataro	Katsura Tarō
Li Zaicheng	Lee Jaesung
University of Texas at Austin	University of Texas at Austin
Najd and Hassa Emirate	Emirate of Nejd and Hasa
Neil DeGrasse Tyson	Neil deGrasse Tyson
LollipopF	Lollipop F
Luigi Inodi	Luigi Einaudi
Heraclius Dynasty	Byzantine Empire under the Heraclian dynasty
Keeper	Storm in a Cocoon
Koichi Domoto	Koichi Domoto
Fly high	Fly High
Wu Lei	Wu Lei
Emile Borrell	Émile Borel
Google	Google
Kiss me I love you	Kiss Me Aishiteru
Yodo Hijacking Incident	Japan Airlines Flight 351
LouisFerdinand Selina	LouisFerdinand Céline
George Canning	George Canning
Charles Scott Sherrington	Charles Scott Sherrington
Lech Walesa	Lech Wałęsa
Bernard Mandeville	Bernard Mandeville
Francis of Assisi	Francis of Assisi
Chad language family	Chadic languages
Kim Jongun	Kim Jongun
Kai Dialect	Kajkavian
Mozambique	Mozambique
Ludwig Wittgenstein	Ludwig Wittgenstein
Robot	Robot
Nicolas Anelka	Nicolas Anelka
West India	Western India
Slovenia National Football Team	Slovenia national football team
Nanaicho	Nanae Hokkaido
Wang Shangyuan	Wang Shangyuan
France Womens National Football Team	France womens national football team
Hong Qigong	Hong Qigong
Li Ao	Li Ao
Taiwan Television Corporation	Taiwan Television
MoonHoly College	Mount Holyoke College
Kenneth Wilson	Kenneth G Wilson
Jordan Rhodes	Jordan Rhodes
Nathan	Matthew Nathan
Sigismund III	Sigismund III Vasa
Ranasingha Premadasa	Ranasinghe Premadasa
Damshui Line	Tamsui Line
1982  83 European Cup Champions Cup	198283 European Cup Winners Cup
Makoto Hasebe	Makoto Hasebe
Jose Bernardo de Tagle	José Bernardo de Tagle y Portocarrero Marquis of Torre Tagle
Azerbaijan Football Premier League	Azerbaijan Premier League
Weimar Republic	Weimar Republic
Ming Xizong	Tianqi Emperor
Jiangsu Province	Jiangsu
Korean Air	Korean Air
PEACH HEART	Peach Heart
Sami Hypia	Sami Hyypiä
Scotland Under21 Football Team	Scotland national under21 football team
Mnet Media	CJ EM Music Performance Division
An Zhijie	Andy On
Kitchenah	Kitchener Ontario
Mariner 10	Mariner 10
Orlando City Football Club	Orlando City SC
198384 UEFA Champions League	198384 European Cup
Neville Chamberlain	Neville Chamberlain
Knights Templar	Knights Templar
Covenant	The Journey
Todor Zhivkov	Todor Zhivkov
Burwood Council	Municipality of Burwood
Sodirios Cagia Gauss	Sotirios Kyrgiakos
Paul Digoff	Paul Dickov
Alfonso	Infante Alfonso Duke of Calabria
George McGovern	George McGovern
President of Tunisia	President of Tunisia
Hangul	Hangul
Child of Death	Children of Bodom
Musha Shisugao	Moussa Sissoko
Las Palmas Athletic Union	UD Las Palmas
Hu Jintao	Hu Jintao
Joe Hart	Joe Hart
Frederick Hopkins	Frederick Gowland Hopkins
Sui Yangdi	Emperor Yang of Sui
Wolf in the Night	Underworld
Li Huiqiong	Starry Lee
Phoenix Sky Harbor International Airport	Phoenix Sky Harbor International Airport
Okaya City	Okaya Nagano
Sherlock	Sherlock
Huainan	Huainan
Taiwanese	Taiwanese people
Leon Mba	Léon Mba
Taipei Track and Field	Taipei Municipal Stadium
Jérôme Rotten	Jérôme Rothen
Patrick Kluivert	Patrick Kluivert
Flevoland	Flevoland
Gerhard Schroeder	Gerhard Schröder
HesseDarmstadt	Grand Duchy of Hesse
NBA Live series	NBA Live
Skeleton	Skeleton
Viratko Glodanoski	Vlatko Grozdanoski
King Sayawady	Tharrawaddy Min
Mini DisplayPort	Mini DisplayPort
Low German	Low German
BEST first things	Best
Goias Sports	Goiás Esporte Clube
Harvard University	Harvard University
Tim Kerry	Tim Curry
zhuozhuo	Gerard Ambassa Guy
Kitasenju Station	KitaSenju Station
Ranma½	Ranma ½
Hungarian	Hungarian language
University of Colorado Boulder	University of Colorado Boulder
Xu Wen	Xu Wen
colorado rapids	Colorado Rapids
Italian Professional Football League	Lega Pro
Indiana Pacers	Indiana Pacers
James Dewey Watson	James Watson
Meizhou Meixian District Hakka Football Club	Meixian Hakka FC
United Kingdom of Saudi Arabia	Unification of Saudi Arabia
Kelly Cuoco	Kaley Cuoco
Janes Fairmont	Janice Filmon
Taihu	Lake Tai
Hiroyuki Hosoda	Hiroyuki Hosoda
Choo Ja Hyun	Choo Jahyun
North Central American and Caribbean League Champions Cup	CONCACAF Champions League
Golda Meir	Golda Meir
Luton	Luton
Jim Morrison	Jim Morrison
Vince McMahan	Vince McMahon
Reise Reise	Reise Reise
Raymond Domenech	Raymond Domenech
Banton Hammel	Brendan Hamill
Peter	Saint Peter
Xinshadong Tiger	Shinsadong Tiger
Wei Jianxing	Wei Jianxing
Milard Fillmore	Millard Fillmore
Muhyiddin	Muhyiddin Yassin
adult	Adult
Paul Krugman	Paul Krugman
Hanyang University	Hanyang University
Bannan Line	Taipei Metro Line 5
Beijing	Beijing
Sony Music Entertainment	Sony Music Entertainment
Fukui Prefecture	Fukui Prefecture
Boeing 377	Boeing 377 Stratocruiser
Albacete Football Club	Albacete Balompié
JohnLennon Plastic Ono	John Lennon Plastic Ono Band
John Stewart 3rd Earl of Butte	John Stuart 3rd Earl of Bute
Frank Capra	Frank Capra
Adair Janos	János Áder
AZ	AZ Alkmaar
Johannes Peter Muller	Johannes Peter Müller
Its all Love	Its All Love
Royal Standard Rich	Standard Liège
Fuzhou dialect	Fuzhou dialect
Moon Hee Jun	Moon Heejoon
Li Xiaolu	Li Xiaolu
Taizhou	Taizhou Zhejiang
Beverly McLachlin	Beverley McLachlin
Thomas Hardy	Thomas Hardy
Kenneth Joseph Arrow	Kenneth Arrow
Valekano Lightning	Rayo Vallecano
Zhenjiang	Zhenjiang
George IV	George IV of the United Kingdom
Socket 939	Socket 939
ItalianAmerican	Italian Americans
Uemi City	Ageo Saitama
true self	Sunao na Mama
Max Perutz	Max Perutz
Anjo	Anjō
Nikola Ivanovich Vavilov	Nikolai Vavilov
Ptolemy XII	Ptolemy XII Auletes
George Walker Bush	George W Bush
Tokugawa	Tokugawa clan
Chen Kexin	Peter Chan
Qiu Zhengxiong	Paul Chiu
McFly	McFly
Ivan Stepanovich Konev	Ivan Konev
Jiuquan Satellite Launch Center	Jiuquan Satellite Launch Center
your poison	Toxic
GCC	GNU Compiler Collection
Empress Dowager Zhaoxian	Empress Shōken
Pythagoras	Pythagoras
François Barouin	François Baroin
Surface Pro	Surface Pro
Chen Boliang	Chen Poliang
CounterStrike	CounterStrike
Pedro Arexo	Pedro Aleixo
loaded with lover	Rear Mirror
Constantin Karamanlis	Konstantinos Karamanlis
Rudy Worrall	Rudi Völler
st albans	City of St Albans
Prime Minister of Japan	Prime Minister of Japan
Nishikido Ryo	Ryo Nishikido
Oculus VR	Oculus VR
Michigan	Michigan
Shuhan	Shu Han
Croydonshire Government	Shire of Croydon
Radcliffe College	Radcliffe College
Chen Huishan	Flora Chan
NET 5	NET 5
Hejian Dimer	Volkan Demirel
What kind of love is this YOU KNOW3F	Nanchū Koi o Yatterū You Know3F
Drogheda	Drogheda
Yang Kang	Yang Kang
MY LONELY TOWN	My Lonely Town
trabzonsport	Trabzonspor
Antonio Nocerino	Antonio Nocerino
James Guthrie	James Guthrie
NASA	NASA
Kihara Kijuro	Kijūrō Shidehara
OHare International Airport	OHare International Airport
Gu Weijun	Wellington Koo
gansu province	Gansu
Welsh	Welsh language
Cadizia Sports	Qadsia SC
Lott M Morrill	Lot M Morrill
Patricia Arquette	Patricia Arquette
On Call 36 hours II	The Hippocratic Crush ll
Li Lanqing	Li Lanqing
Liamina Zerouale	Liamine Zéroual
Martin Brian Mulroney	Brian Mulroney
Sugiyama Yuan	Hajime Sugiyama
Baruch Spinoza	Baruch Spinoza
Sony Xperia ZR	Sony Xperia ZR
Italian Serie B	Serie B
Game Boy Color	Game Boy Color
Akadian	Akkadian language
MazdaRX8	Mazda RX8
Milan Zuyunnu Domain	Milan Jovanović
Dannyson Cordoba	Danilson Córdoba
Sakura blooms in sweet and sour spring	Amazuppai Haru ni Sakura Saku
AFC Champions League	AFC Champions League
Paris School of Business Studies	HEC Paris
The Dragon Series	Yakuza
Spanish Provinces	Provinces of Spain
Broadwell Microarchitecture	Broadwell
Sami	Sami languages
Livonian Crusaders	Livonian Crusade
CRY NO MORE	Cry No More
José Kleberson	José Kléberson
Black wood is frame	Kuroki Tamemoto
Will Charn	Will Champion
Pope Pascal II	Pope Paschal II
Xi Zhongxun	Xi Zhongxun
New England Association of Schools and Colleges	New England Association of Schools and Colleges
ALGOL W	ALGOL W
Kazakh Premier League	Kazakhstan Premier League
Jigme Kesar Namgyel Wangchuck	Jigme Khesar Namgyel Wangchuck
Lao Cai Province	Lào Cai Province
Kyla Diogo Dio	Kara DioGuardi
Financial Secretary of the Hong Kong Special Administrative Region	Financial Secretary
Wendi Deng	Wendi Deng Murdoch
List of Permanent Representatives of the United States to the United Nations	United States Ambassador to the United Nations
Chen Wei	Alice Chan
Bernadotte Dynasty	House of Bernadotte
Constantine the Great	Constantine the Great
Hong Yingzao	Hong Yongjo
Big Ten	Big Ten Conference
FriendFeed	FriendFeed
Hurricane Gonzalo	Hurricane Gonzalo
Fred Vinson	Fred M Vinson
Urawa Red Diamonds	Urawa Red Diamonds
Qingdao Huanghai Football Club	Qingdao Huanghai FC
sevilla	Seville
SaxonyMeiningen	Duchy of SaxeMeiningen
Joseon Youngjo	Yeongjo of Joseon
Hong Kong Baptist University	Hong Kong Baptist University
Xiangfei	Consort Xiang
BMO Stadium	BMO Field
Polandia Football Competition	Botafogo de Futebol e Regatas
The Church of Denmark	Church of Denmark
Kemal Quirida Oulu	Kemal Kılıçdaroğlu
HUNTER×HUNTER	Hunter × Hunter
Ovid	Ovid
Villa Park	Villa Park
Kobayashi Yuki	Yuki Kobayashi
Nicky Romilo	Nicky Romero
Mito City	Mito Ibaraki
Tan Hai	Tan Hai
East Sussex	East Sussex
Chen Jianbin	Chen Jianbin
Sanchez Watt	Sanchez Watt
Victor Borisovich Khristenko	Viktor Khristenko
Shaanxi Province	Shaanxi
Rian Shechen	Leon Jessen
Tianjin Jingtie Locomotive Football Club	Jingtie Locomotive FC
University of North Carolina at Chapel Hill	University of North Carolina at Chapel Hill
Duas Football Club	Tours FC
Giovanni Leona	Giovanni Leone
Yuri Mikhailovich Luzhkov	Yury Luzhkov
Zoran Tosic	Zoran Tošić
Anos Fogg Rasmussen	Anders Fogh Rasmussen
Arthur Cecil Pigou	Arthur Cecil Pigou
Juan Carlos Belleron	Juan Carlos Valerón
Corcier	Corsier
George RR Martin	George R R Martin
ALL FOR YOU	All for You
Harald Schumacher	Harald Schumacher
Shlash	Slash
Vanosa Katane	Vannozza dei Cattanei
Germany National Under21 Football Team	Germany national under21 football team
bristol	Bristol
Dutch East Indies	Dutch East Indies
Haider Abadi	Haider alAbadi
Karl I	Charles I of Austria
Ahmed Oyahia	Ahmed Ouyahia
Greece	Greece
Emile Constantinesco	Emil Constantinescu
The Voice of Fame	Decadent Sound of Faye
Mehdi Goli Hidayat	Mehdi Qoli Hedayat
Olympic Lyon	Olympique Lyonnais
Matt McKay	Matt McKay
Mark Milley	Mark A Milley
Helsinki Olympic Stadium	Helsinki Olympic Stadium
Wanli	Wan Li
Pope Simplicius	Pope Simplicius
Lily Allen	Lily Allen
Harold McMillan	Harold Macmillan
guiltcrown	Guilty Crown
Makoto Tanaka	Makoto Tanaka
Charles Grey 2nd Earl Grey	Charles Grey 2nd Earl Grey
Xu Yihong	Anthony Zee
The Big Bang Theory	The Big Bang Theory
Montpellier Sports	Montpellier HSC
Jetconnect	Jetconnect
Ernst August I	Ernest Augustus I of Hanover
Seto City	Seto Aichi
Romanian Orthodox Church	Romanian Orthodox Church
RKC Huayike	RKC Waalwijk
Hanjiatuo Yangtze River Bridge	Hanjiatuo Yangtze River Bridge
slovakia	Slovakia
Joel Griffith	Joel Griffiths
Feidong County	Feidong County
Xiao Yang	Xiao Yang
Malcolm III	Malcolm III of Scotland
SH3 Sea King Helicopter	Sikorsky SH3 Sea King
US CENTCOM	United States Central Command
Sad Britney	From the Bottom of My Broken Heart
Prince Constantine	Prince Constantijn of the Netherlands
Injustice	Looking Back in Anger
Robert Kunz	Robert Coontz
Juan Gutierrez Moreno	Juanito
Prince Victoria	Victoria Crown Princess of Sweden
Ian Rush	Ian Rush
Sichuan dialect	Sichuanese Mandarin
Frank ABarrett	Frank A Barrett
Catherine of Aragon	Catherine of Aragon
burundi	Burundi
Nicholas Zozenson	Nicolai Jørgensen
Johnny Marr	Johnny Marr
Richard von Mises	Richard von Mises
Rafiq Charliege	Rafik Halliche
somali	Somalis
Yokohama City	Yokohama
The Great Eunuch	The Confidant
Thomas Huberkan	Tomáš Hubočan
Guns and Roses	Guns N Roses
Penn State University	Pennsylvania State University
Qing Dynasty	Qing dynasty
madhya	Madhya Pradesh
Scottish Football League	Scottish Football League First Division
The Kingdom of the Two Sicilies	Kingdom of the Two Sicilies
Enomoto Takeyo	Enomoto Takeaki
Wesley Sneijder	Wesley Sneijder
Kuragi Mai	Mai Kuraki
Chrysanthemum	Chrysanthemum
North Ward	Kita Tokyo
Ramasin Osjan	Ramazan Özcan
Meg Griffin	Meg Griffin
Li Zhilong	Li Zhilang
Socialist Peoples Republic of Albania	Peoples Socialist Republic of Albania
Leslie Lamport	Leslie Lamport
Jopp Denuer	Joop den Uyl
Gigi Lai	Gigi Lai
Sweden National Football Team	Sweden national football team
Norob Altankhuyag	Norovyn Altankhuyag
landau	Lev Landau
Milian Madkovic	Miljan Mrdaković
China National Olympic Football Team	China national under23 football team
metal band	Metallica
Ichiro Ozawa	Ichirō Ozawa
Heilongjiang	Heilongjiang
Emma Goldman	Emma Goldman
Wusau Duura	Vossug ed Dowleh
Roger Wick	Roger Wicker
Ireland National Football Team	Republic of Ireland national football team
Hakata language	Bodo language
StarCraft	StarCraft
Hungarian National Football Team	Hungary national football team
Thomas Henry Huxley	Thomas Henry Huxley
Rishi Kapoor	Rishi Kapoor
Romanov Dynasty	House of Romanov
Wuhan Zall Professional Football Club	Wuhan Zall FC
Red Star Awards 2000	Star Awards 2000
Lon Nol	Lon Nol
Brad Paisley	Brad Paisley
wisconsin	Wisconsin
Guard Division	Imperial Guard
VH1	VH1
Roger Adams	Roger Adams
Federico Maceda	Federico Macheda
Phoenix TV Hong Kong	Phoenix Hong Kong Channel
Whose stove is smokeless	Be Home for Dinner
Shah Alam II	Shah Alam II
Miyagi Prefecture	Miyagi Prefecture
Akiko Fujiwara	Empress Shōshi
Ministry of Health of the Peoples Republic of China	Ministry of Health of the Peoples Republic of China
Republic of Crimea	Republic of Crimea
Andrei Andreevich Gromyko	Andrei Gromyko
Spanish Football League	Segunda División
knotpointlie love	Til Love Do Us Lie
Nokia Lumia 1520	Nokia Lumia 1520
Diga Stroup	De Graafschap
Spitzer Space Telescope	Spitzer Space Telescope
Mikhail Sergeyevich Solometsev	Mikhail Solomentsev
BBC Congress	BBC Parliament
Resa Khan	Reza Shah
Swindon Football Club	Swindon Town FC
Zhangjiakou	Zhangjiakou
Trinity College Cambridge	Trinity College Cambridge
Diago Costa	Diego Costa
Mike D Angelo	Golf  Mike
Yotani Station	Yotsuya Station
Charlie Pace	Charlie Pace
highprofile	Anticipating
Alfred Domet	Alfred Domett
Zhang Yaokun	Zhang Yaokun
Bruce Golding	Bruce Golding
Mohammad Shidan	Mohamed Zidan
Communist Party of Cambodia	Communist Party of Kampuchea
Australian House of Representatives	Australian House of Representatives
Red Star Belgrade	Red Star Belgrade
Wycombe Rangers Football Club	Wycombe Wanderers FC
Kyung Hee University	Kyung Hee University
Caesar ARodney	Caesar Augustus Rodney
Qijishi	Michael David Irving Gass
Tom Capo	Tom Carper
Nagasaki Prefecture	Nagasaki Prefecture
springfield	Springfield Illinois
Dennis Rodman	Dennis Rodman
Central Japan Broadcasting	ChubuNippon Broadcasting
Kasugai City	Kasugai Aichi
Country Girls	Country Musume
University of Calcutta	University of Calcutta
Edward the Black Prince	Edward the Black Prince
Aleut	Aleut
Marco Miso	Marco Maciel
Zhaoqing	Zhaoqing
Leonhard Euler	Leonhard Euler
Dutch League Two	Eerste Divisie
Jerm Friedman	Jerome Isaac Friedman
Toronto Blue Jays	Toronto Blue Jays
