BBC Radio 1	Bradford,HTC One V,Ruhrstadion,HTC First,DC Comics,FC Goa,Belgrade,Bob Carr,Bulgaria,Croatia,Pep Guardiola,Tomb Raider,Cao Cao,AS Roma,Brazil,FC Basel,FC Seoul,Air Canada,Maxis,Voyager 2,AC Omonia,ND Gorica,New Horizons,Belfast,So Girls,Xiaomi,Ich will,AS Nancy,The Hague,GDragon,Celeron,Ranger 2,Corsier,Bird,Belize,Clang,Nampo,Jay album,FC Metz,Nintendo DS,Ranger 6,Sendai,Busan,Budapest,Nevada,Bob Corker,Emilia Fox,Botswana,Monaco,BBC One
Russian Soviet Federal Socialist Republic	Russian Provisional Government,Swiss Federal Council,Socialist Federal Republic of Yugoslavia,Altai Republic,Dianne Feinstein,Prime Minister of Slovenia,Red Hot Chili Peppers,First Love Utada Hikaru album,Bastian Schweinsteiger,Shandong Provincial Stadium,Luis Guillermo Solís,Universal Parks  Resorts,Vasili Kuznetsov politician,Collectivity of Saint Martin,Communist Party of Cuba,Syrian Armed Forces,Prime Minister of Yemen,Latvian Higher League,Japanese National Railways,Royal Australian Air Force,Kara South Korean band,President of the European Council,Serbia national football team,Mali national football team,Distinguished Service Medal US Army,Chinas Got Talent series 3,Chinese Football Association,Mike Moore New Zealand politician,Indian Super League,University of Texas at Austin,Royal Dutch Football Association,Sham Shui Po Sports Ground,United Left Spain,Nationalist Party Malta,Daraa Governorate,Santander Spain,Sugathadasa Stadium,Palm Desert California,Giannis Maniatis,Prudente de Morais,Boeing Commercial Airplanes,Pascoal Ranieri Mazzilli,Pasadena California,The Magicians Nephew,Carlos Adriano de Sousa Cruz,Adiel de Oliveira Amorim,Out Works  Collaboration Best,States and union territories of India,Kingdom of Sicily,Russian Soviet Federative Socialist Republic
FC Basel	FC Metz,FC Seoul,FC Goa,AS Nancy,McLaren,Busan,Croatia,Belfast,BBC One,Corsier,Qantas,Chicken,Clang,Inuyasha,Maebashi,Socrates,AC Omonia,Brazil,Belgrade,The Hague,Camellia,Kaká,Monaco,Bulgaria,Budapest,Astana,Clojure,Goa,TVBS,Heartful,Alkmaar,HTC One V,Tim Krul,Ich will,ABBA,Shueisha,Bird,HTC First,Egirls,H EP,Cinemax,Mao Fumei,Émile Borel,So Girls,DC Comics,Maxis,Celeron,Haarlem,Yunnan,FC Basel
Phoenix Sky Harbor International Airport	Lhasa Gonggar Airport,Boeing Commercial Airplanes,Royal Australian Air Force,Solar Dynamics Observatory,Sony Pictures Animation,San Antonio Spurs,President of Germany 191945,Out Works  Collaboration Best,OS X Mountain Lion,Madonna entertainer,Sony Ericsson Xperia arc S,Haha entertainer,United States mens national soccer team,Northrop Corporation,Yokohama Station,Korea Baseball Organization,List of counties in Arizona,Yomiuri Telecasting Corporation,City Football Group,Shandong Provincial Stadium,Japanese National Railways,Even If Ken Hirai song,Lamborghini Gallardo,Michael Marrone footballer,Chinas Got Talent series 3,Ricardo Ezzati Andrello,Like a Virgin song,National Revolutionary Army,Portia SimpsonMiller,Prince Nikolai of Denmark,Pietro Badoglio,Roberto Carlos footballer,Pedro I of Brazil,Party of Labour of Albania,Philip II of Macedon,Progressive Party of Working People,Viktor Chernomyrdin,Monarchy of the United Kingdom,House of Hohenzollern,Palm Desert California,CSX Transportation,City of Canada Bay,Red Hot Chili Peppers,Dream of Love Adventure Time,Sham Shui Po Sports Ground,The Siren song,Adiel de Oliveira Amorim,Nintendo WiFi Connection,Collectivity of Saint Martin,Phoenix Sky Harbor International Airport
Callixter III	Napoleon III,Carl Valeri,Celeron,Wilber Pan,Carl Levin,Lollipop F,Wally West,Corsier,Ranger 2,Ranger 6,Cameroon,Elizabeth II,Pope Urban III,Pope Leo IX,Pauleta,Clojure,Camellia,Donnie Yen,Andi Herzog,David Stern,Bill Nelson,Rainie Yang,William Chan,Cao Cao,Pat Roberts,Emilia Fox,CurtissWright,Malice Mizer,Jack Kerouac,Cinemax,Will Arnett,Chandigarh,Naughty Dog,Coquitlam,Sammir,Chris Brown,Katy Perry,Rolling Star,Voyager 2,Apple A9,Chicken,Palencia,Pakistan,Valencian,Hurricane Ike,Belize,Chrome OS,Gelderland,Eagle Airways,Pope Callixtus III
Paris	Madrid,Maxis,Berlin,Tigris,Brazil,Kaká,Nampo,Bird,Sammir,Yanan,Pakistan,Naha,Egirls,Ovid,Punjabis,Qantas,Metz,Lyon,Corsier,Goa,Palencia,Americas,Mauritius,Illinois,McLaren,Delhi,Zenica,Belize,Pauleta,Gujarat,Yemen,Croatia,Jining,Quito,Clang,BASIC,H EP,Bulgaria,EXID,Busan,Berbers,Hebei,Linux,VIXX,SS501,GNU,Xiaomi,AWK,ABBA,Paris
Queen Noor Jordan	Armen Sargsyan,Jerry Moran,Anwar Sadat,Sherrod Brown,Ander Herrera,John Sherman,House of Vasa,Luo Gan,Gerald Ford,Prudente de Morais,Victor Ponta,Run Run Shaw,Levi Woodbury,Lu Wei politician,Pep Guardiola,Arjen Robben,Ludvík Svoboda,Yuan Shanshan,Leeuwarden,Sean Connery,Seven Years War,Over Load,New Horizons,Microsoft Word,Daraa Governorate,Asamoah Gyan,Patty Murray,Todor Burmov,Maya Yoshida,Fahri Korutürk,Conan OBrien,Alan Sheehan,Hayato Ikeda,Brown Eyed Girls,Angelino Alfano,Nacho Monreal,Emma Goldman,John Bercow,John Roberts,Leandro Guaita,Lucrezia Borgia,Bill Nelson,Cape Colony,Henri Brisson,John Curtin,Wilber Pan,Kuniaki Koiso,Roman Sharonov,Bob Corker,Queen Noor of Jordan
Marianne Raven	Mariah Carey,Malice Mizer,Rainie Yang,Hakan Yakin,Mario Gómez,Merrimack River,Paraná state,Drake rapper,Mamadou Sakho,Brian Wilson,Stefan Löfven,Carl Levin,Arjen Robben,Donnie Yen,Santander Spain,French Navy,Manuel Valls,Marc Janko,Marco Di Vaio,Michael Sheen,Hurricane Ike,Wang Zhen,Iron Man,Indiana Pacers,Émile Borel,Avril Lavigne,Carl Valeri,Blake Ross,David Stern,Conan OBrien,Michael Bay,Wilber Pan,Daur language,McLaren,Ivan Silayev,Chris Brown,Qin Sheng,Mari Kiviniemi,Cinemax,Madagascar,Yanan,Fabien Barthez,Harold Urey,Tianhe Stadium,Daisuke Sakata,Milan Susak,Malcolm Fraser,OneDrive,Alianza Lima,Marion Raven
Carson California	Northern California,Pasadena California,Palm Desert California,Carl Valeri,New Caledonia,Carlos Santana,Cape Colony,Marion Raven,Cao Cao,Cathay Pacific,Redwood City California,West Virginia,North Carolina,Croatia,Cosmin Contra,Brian Wilson,Gary Cahill,Warsaw Uprising,Löfven Cabinet,Marco Di Vaio,Hakan Yakin,Haruna Kojima,Carl Levin,Brian Mulroney,RCD Mallorca,Mariah Carey,Iron Man,Mountain View California,Ordos City,Camellia,Corsier,Bradford,Split Croatia,Clark University,Confignon,Karakoram,Gossip Candy,Conan OBrien,Air Canada,Sakhalin,Brown University,AC Omonia,Bob Carr,Yashio Saitama,Gordon Sprigg,UD Salamanca,Ruhrstadion,Samuel Alito,Takasaki Gunma,Carson California
Villarreal Football Club	Vålerenga Fotball,City Football Group,Mali national football team,Lima footballer,Wales national football team,Marcel Desailly,Michael Marrone footballer,Serbia national football team,Finland national football team,Manuel Valls,Tianhe Stadium,Vincenzo Montella,Victor Ponta,William Des Vœux,William Golding,Michael Bloomberg,Brendon Šantalab,Sweden national football team,Wuhan Zall FC,Roberto Carlos footballer,Ricardo Carvalho,Chinese FA Cup,Vlatko Grozdanoski,AlNusra Front,Albert II of Belgium,Haruna Kojima,Carl Valeri,Claude Makélélé,Bulgarian language,Angels Fall First,Force Superfly album,William Chan,Empress Dowager Cian,Zara Phillips,Bill Nelson,Michael Bay,Morocco national football team,Melbourne City FC,Vegalta Sendai,Nacho Monreal,Alianza Lima,AC Sparta Prague,Belgian Pro League,Scuderia Ferrari,Piedra Spain,Blerim Džemaili,Colorado Rapids,Rose Bowl stadium,Toumba Stadium,Villarreal CF
University of Alabama	University of Jena,University of Portland,University of Florence,University of Turin,University of Freiburg,University of Zurich,University of Notre Dame,University of Liverpool,University of Saskatchewan,University of Mississippi,Universal Orlando,University of Texas at Austin,Angelino Alfano,State University of New York,University of Economics Prague,Occupation of Japan,Order of Australia,City of Canada Bay,Rivers Cuomo,House of Vasa,Umberto II of Italy,Party of Regions,Albert II of Belgium,Republic of Crimea,Republic of Genoa,Kingdom of England,American Samoa,Yashio Saitama,Shire of Winton,Air Canada,West Java,North Brabant,One Arashi album,Pedro I of Brazil,St Albans,Athletic Bilbao,Jeremy Bentham,Tigrinya language,Carlos Duke of Parma,United Left Spain,Rise of Nations,Bert T Combs,Daisuke Sakata,Georgios Samaras,Jetstar Airways,Kingdom of Italy,Inha University,North Carolina,Kingdom of Sicily,University of Alabama
Hachinohe	Kashiwa,Hitachi,Hu Jintao,Jahangir,Maebashi,Naha,Cantonese,Shueisha,Illinois,Hard rock,Jining,Sakhalin,Nampo,Yanan,Suzhou,Katowice,Thuringia,Hebei,Sammir,Palencia,Chicken,Quito,HTC One V,Delhi,Confignon,Ich will,Wang Zhen,Haarlem,Mestizo,Belize,Xiaomi,BBC One,Cameroon,Pakistan,Bashkirs,Yao people,Al Ain FC,Joachim Löw,Cao Cao,Akhenaten,Gary Locke,Mauritius,Maxis,Qantas,Linux,WatchOS,Shanghai,Sendai,Fuchū Tokyo,Hachinohe Aomori
Sistus V	Tigris,KisMyFt2,Astana,Linux,Shueisha,Mestizo,Hitachi,Busan,SimCity,Nexus 6P,Qantas,Epicurus,Socrates,Nightwish,Modula2,SS501,Zhu Xi,HTC One V,Sammir,Maxis,Bashkirs,WatchOS,Clojure,Sendai,Lu Xun,Maebashi,Sakhalin,Bird,Suzhou,Esbjerg,Tim Krul,Setagaya,Liu Jian,Xiaomi,Ranger 2,West Java,Pakistan,Metz,Cinemax,TVBSAsia,Ranger 6,So Girls,Jining,Inuyasha,Soft rock,Kashiwa,Egirls,SDN48,Wind song,Pope Sixtus V
Ronan Keating	Conan OBrien,Roman Sharonov,Robbie Keane,John Curtin,Hakan Yakin,Fool Again,Rainie Yang,Donnie Yen,Moshe Katsav,Ron Wyden,Zhang Wentian,Li Keqiang,Alan Sheehan,Duncan Oughton,Ledley King,Brian Wilson,Wind song,John Bercow,Carl Levin,Yanan,Tong Liya,John Sherman,Jining,North Sea,Iron Man,Qin Sheng,Ranger 6,Andi Herzog,Senad Lulić,Ranger 2,Lost season 3,Wang Dongxing,Sakhalin,Yan Xishan,Suwa Nagano,Gordon Sprigg,Chen Jianbin,North Brabant,Zhang Yesui,Paraná state,Gilan Province,Akhenaten,Yunnan,Pyongyang,Shanghai,Sean Connery,Angus Young,John Roberts,Bob Carr,Ronan Keating
Kingdom of Yugoslavia	Kingdom of England,Kingdom of Sicily,Kingdom of Italy,Order of Australia,Montgomery Blair,House of Vasa,Pedro I of Brazil,City of Canada Bay,Senad Lulić,Stadium Australia,Donald III of Scotland,Qingdao Jonoon FC,Nedum Onuoha,Animax Asia,Fool Again,Pietro Badoglio,Jimmy Bullard,Nanako Matsushima,Angelo Ogbonna,Vincenzo Montella,Kim Hyungil,Leandro Guaita,Feng Guozhang,Ahmed Ouyahia,Windows Phone,Republic of Genoa,Split Croatia,Mayor of New Taipei,Party of Regions,Queen Noor of Jordan,Savo Milošević,Nikola Petković,Piedra Spain,Todor Burmov,Yugawara,Victor Ponta,Milan Susak,North Carolina,Lingya District,London Underground,Radoslav Kováč,Qiangic languages,Ingrid Bergman,Rise of Nations,Zhang Yesui,Tim Krul,Brendon Šantalab,Carson California,Padmé Amidala,Kingdom of Yugoslavia
PepGuardiola	ND Gorica,Heartful,Leeuwarden,Bulgaria,Nevada,Paris,Pauleta,Nedum Onuoha,Setagaya,Palencia,Pedro Pires,Padmé Amidala,Zenica,Oppa Oppa,FC Goa,Yugawara,Belgrade,Celeron,Ruhrstadion,AlQaeda,Nereu Ramos,GDragon,Lethbridge,Odawara,Penguin Books,Goa,Shueisha,MeeGo,Thuringia,Kashiwa,So Girls,Croatia,Seth Harris,Coquitlam,New Horizons,Karakoram,Pakistan,West Virginia,Gerald Ford,Gujarat,Pope Mark,New Caledonia,Guangxi,Sendai,Bradford,Punjabis,Berlin,Hard rock,Brazil,Pep Guardiola
University of Portland	University of Turin,University of Alabama,University of Notre Dame,University of Florence,University of Zurich,University of Jena,University of Freiburg,University of Liverpool,University of Saskatchewan,Universal Orlando,University of Mississippi,Kingdom of England,Donald III of Scotland,University of Texas at Austin,State University of New York,University of Economics Prague,Shire of Winton,Queen Noor of Jordan,Party of Regions,Victor Ponta,Rise of Nations,Umberto II of Italy,Jerry Moran,Occupation of Japan,Chancellor of Germany,Order of Australia,Municipality of Strathfield,Rivers Cuomo,First Minister of Scotland,Hungarian forint,Microsoft Word,Prudente de Morais,Pier Luigi Bersani,Samuel L Southard,Ingrid Bergman,Angelino Alfano,Over Load,Kingdom of Italy,City of Canada Bay,Republic of Genoa,Republic of Crimea,Vålerenga Fotball,Republic of Korea Navy,North Carolina,Robert Coontz,Kingdom of Sicily,Split Croatia,House of Vasa,Sherrod Brown,University of Portland
Alan Shihan	Yan Xishan,Yuan Shanshan,Milan Susak,Adam Smith,John Sherman,Liu Jian,Ivan Silayev,Asamoah Gyan,Yanan,Qin Sheng,Wang Zhen,Zhongshan,Tang Shaoyi,Kashiwa,Anwar Sadat,Li Ruihuan,Alianza Lima,Valencian,Iron Man,Shanghai,William Chan,Hakan Yakin,Roman Sharonov,Conan OBrien,Tong Liya,Arjen Robben,Luo Gan,AlQaeda,John Curtin,Anton Chekhov,Tuo Zhen,Ron Wyden,Miloš Zeman,Zhang Wentian,Armen Sargsyan,Brian Wilson,Liu Yuzhang,Hans Geiger,Astana,AC Omonia,Naha,Inuyasha,Zenica,Flea musician,Club Atlas,Ulla Schmidt,Animax Asia,Sakhalin,Camellia,Alan Sheehan
Yuri Mikhailovich Luzhkov	Sukhoi Su24,Michael Sheen,Malice Mizer,Mari Kiviniemi,Patrick Leahy,Dai Jiaoqian,PFC Litex Lovech,Duncan Oughton,Eurico Gaspar Dutra,Mikaël Silvestre,Marc Janko,Cristiano Zanetti,Ho Chi Minh City,Kuniaki Koiso,Mamadou Sakho,Michael Bay,Zara Phillips,Yuan Shanshan,Suzuki Escudo,Milan Susak,Music Madonna album,RCD Mallorca,OS X Mountain Lion,Philips Stadion,Athletic Bilbao,Hurricane Ike,Anton Chekhov,Todor Burmov,Roman Sharonov,Luzhniki Stadium,Prince Nikolai of Denmark,Yitzhak Rabin,Yuya Tegoshi,Liu Yuzhang,Sakhalin,Xu Xiangqian,Michael Bloomberg,Tang Shaoyi,William Rehnquist,Nivkh language,Yūko Obuchi,Kurt Vonnegut,Kazuhiko Chiba,Jules Bianchi,Lord William Bentinck,Luis Guillermo Solís,Miloš Zeman,Niklaus Wirth,Avril Lavigne,Yury Luzhkov
Wii U	Linux,GNU,Jining,Bird,Quito,Ovid,SimCity,IOS,Maxis,Xiaomi,MeeGo,VIXX,NTV7,TVBS,H EP,EXID,Egirls,SS501,SDN48,Kaká,Clang,Goa,ABBA,AWK,Belize,BASIC,Naha,Yanan,Zenica,Nampo,Busan,Delhi,Yemen,Lyon,Metz,Tigris,Hebei,Zhu Xi,Paris,Hitachi,Cinemax,WatchOS,BBC One,Moon EP,FC Goa,Wind song,Sendai,Sammir,Nevada,Super Smash Bros for Nintendo 3DS and Wii U
bird	Ovid,Kaká,AWK,H EP,Goa,Egirls,EXID,Naha,VIXX,Metz,GNU,TVBS,Lyon,ABBA,Linux,Quito,Tigris,NTV7,IOS,Madrid,Paris,Nampo,Yanan,SS501,BASIC,Sammir,Clang,Zenica,Delhi,Jining,Berbers,Nevada,Yemen,MeeGo,Belize,Xiaomi,Esbjerg,Busan,Sendai,Maxis,SDN48,Hebei,Chicken,Berlin,GDragon,So Girls,McLaren,Clojure,Gujarat,Bird
Giorgio Chiellini	Georgios Tzavellas,Alfredo Cristiani,Fabio Capello,Gary Cahill,Zara Phillips,North Carolina,Giordano Bruno,Blerim Džemaili,George Grenville,Georgios Samaras,Good Charlotte,Guo Jinlong,Pietro Badoglio,Marco Di Vaio,Luigi Einaudi,Fábio Aurélio,Mario Gómez,Virgin Records,Giannis Maniatis,Henri Brisson,Donnie Yen,Gerd Müller,Gerald Guralnik,William Chan,Qin Sheng,Chris Weitz,Gordon Sprigg,Kazuhiko Chiba,Ricardo Carvalho,Marion Raven,Robbie Keane,Carl Levin,Ronan Keating,John B Weller,William Golding,Camellia,Mari Kiviniemi,John Sherman,Bill Nelson,Lingya District,Tuo Zhen,John Curtin,Michael Sheen,Brian Wilson,Will Champion,Gossip Candy,Wang Zhen,Scottish Gaelic,Georges Pompidou,Giorgio Chiellini
Prague University of Economics	State University of New York,University of Florence,University of Zurich,University of Jena,University of Turin,University of Portland,University of Alabama,University of Freiburg,University of Liverpool,University of Mississippi,University of Notre Dame,Brown University,Tulane University,Brandeis University,Clark University,Prime Minister of Slovenia,Prince Nikolai of Denmark,Leiden University,University of Saskatchewan,Inha University,Cornell University,Sichuan University,Nankai University,Wuhan University,Auburn University,Party of Regions,Prime Minister of Yemen,Mapúa Institute of Technology,ArabIsraeli conflict,Prudente de Morais,Stanford University,University of Texas at Austin,Universal Orlando,Palm Desert California,Francesco Totti,First Minister of Scotland,The Chronicles of Narnia,Francesco Cossiga,Northeastern University,Collectivity of Saint Martin,Hungarian forint,Chancellor of Germany,Party of Labour of Albania,Rivers Cuomo,Republic of Genoa,Progressive Party of Working People,Penguin Books,Communist Party of Cuba,Municipality of Strathfield,University of Economics Prague
Belgium Football League	City Football Group,Lima footballer,Swiss Super League,Latvian Higher League,Indian Super League,201314 Premier League,Stadium Australia,Swiss Football Association,Mali national football team,Vålerenga Fotball,Bosnian language,Bulgarian language,AC Sparta Prague,Basque language,Celtic languages,Angels Fall First,William Golding,Chinese Football Association,Club Atlas,201415 UEFA Europa League,Rose Bowl Game,Toumba Stadium,Kingdom of England,Blue English band,Split Croatia,Brendon Šantalab,Belgrade,Vegalta Sendai,Daur language,Yellow Coldplay song,Western Yugur language,Limbu language,Blerim Džemaili,Robbie Keane,Fool Again,Heath Ledger,Georgios Tzavellas,Bertrand Delanoë,Tim BernersLee,Levi Woodbury,Bill Nelson,Sergey Shoygu,Malcolm Fraser,William Des Vœux,201213 UEFA Europa League,2014 AFC Champions League,Kazuma Watanabe,Feng Guozhang,Debbie Stabenow,Belgian Pro League
Ingrid Bergman	Chris Brown,David Stern,Andi Herzog,Henri Brisson,Angela Merkel,Sherrod Brown,Wilber Pan,Miloš Zeman,Jerry Moran,John Sherman,Iron Man,Lucrezia Borgia,Park Jungmin,North Brabant,Emma Goldman,Carl Levin,Donnie Yen,Chris Weitz,Penguin Books,Ander Herrera,Todor Burmov,Jack Kerouac,Oregon,Cinemax,North Sea,Jeremy Bentham,Mario Gómez,Liu Jian,Thuringia,Takuya Terada,Robbie Keane,Lin Fengjiao,Zhang Wentian,John Bercow,Armen Sargsyan,Gelderland,Li Ruihuan,English language,Hard rock,Li Keqiang,Berlin,Carrie Underwood,Agatha Barbara,Marion Raven,Conan OBrien,Sven Bender,Patty Murray,Angus Young,Fool Again,Ingrid Bergman
University of Jena	University of Turin,University of Zurich,University of Florence,University of Alabama,University of Freiburg,University of Portland,University of Liverpool,University of Notre Dame,University of Saskatchewan,Universal Orlando,University of Mississippi,Republic of Genoa,Occupation of Japan,House of Vasa,Ander Herrera,Rivers Cuomo,Party of Regions,West Java,Inha University,University of Texas at Austin,State University of New York,Hungarian forint,North Sea,Left Party Sweden,Robert Trivers,United Left Spain,Exeter City FC,Victor Ponta,Herbert Blumer,Marion Raven,Shire of Winton,Forensic Heroes,Angelo Ogbonna,Angelino Alfano,West Virginia,Chinese FA Cup,Avril Lavigne,Umberto II of Italy,Casey Affleck,Jerry Moran,University of Economics Prague,Wuhan University,Clark University,Brown University,Stoke City FC,Ruhrstadion,Republic of Crimea,Astana,Jeremy Bentham,University of Jena
Adam Smith	Sammir,Anwar Sadat,Alan Sheehan,Camellia,SimCity,Armenia,Ordos City,Xiaomi,Samuel Alito,Cao Cao,Mao Fumei,Chris Weitz,Zhu Xi,Luís Figo,Jahangir,Nightwish,Yan Xishan,Ich will,DC Comics,Chandigarh,Ulla Schmidt,Pauleta,Tim Krul,Animax Asia,Milan Susak,Liu Jian,Qin Sheng,Budapest,Red Skull,AC Omonia,Nedum Onuoha,Cameroon,Alkmaar,Hulk comics,Bashkirs,Haarlem,Quito,AS Nancy,Maxis,Valencian,Apple Watch,Nampo,FC Metz,Odawara,Katowice,Kashiwa,Americas,Jay album,Xiaomi Mi 2,Adam Smith
Windows Phone	Wind song,Wilber Pan,William Chan,Qin Sheng,Victor Ponta,Wang Zhen,Windows Photo Gallery,Rivers Cuomo,Ordos City,Shropshire,Angus Young,Yan Xishan,Tuo Zhen,Aldous Huxley,Niels Bohr,Surface Pro 2,Xiaomi Mi 2,Friends season 7,Gold Typhoon,Nightwish,Will Champion,Penguin Books,AlNusra Front,BBC One,Ledley King,Ched Evans,Soft rock,Confignon,Inuyasha,Donnie Yen,Mongol Empire,Yao people,Michael Sheen,Airbus A330,Piedra Spain,Katowice,Botswana,Chris Brown,Jining,Wang Dongxing,Bill Nelson,Rainie Yang,Luo Gan,Zhongshan,Run Run Shaw,Robbie Keane,Liu Jian,Thomas Pledl,Asamoah Gyan,Windows Phone
Des Voeux	Tuo Zhen,Tim Krul,MeeGo,Celeron,Lu Xun,Qin Sheng,FC Goa,HTC One V,Niels Bohr,Heartful,Esbjerg,Mestizo,Suzhou,BBC One,Over Load,FC Metz,The Hague,Linux,Avex Trax,Jay album,Delhi,West Java,Berbers,Hebei,Red Skull,Belize,DC Comics,Yemen,AS Roma,Corsier,FC Seoul,Kurt Vonnegut,Pauleta,Clojure,Luo Gan,Ched Evans,AlQaeda,Leessang,Nampo,Montesquieu,David Stern,Carl Valeri,Setagaya,Gary Locke,Ich will,AS Nancy,Epicurus,GDragon,Socrates,William Des Vœux
Liquivea Sports	Ezequiel Garay,Piedra Spain,AlNusra Front,Ludvík Svoboda,Daisuke Sakata,Émile Borel,Virgin Records,Lollipop F,Avex Trax,Love So Sweet,Indiana Pacers,Rivers Cuomo,Rolling Star,Sergey Shoygu,Manuel Valls,Dischord Records,Victor Ponta,Penguin Books,Coquitlam,Budapest,Niklaus Wirth,Lucrezia Borgia,Li Ruihuan,Lost season 3,Over Load,Samuel Alito,Mohamed Morsi,Liu Jian,Blake Ross,Lu Zhangong,Emilia Fox,Sorry Sorry,Phil Spector,David Stern,Michael Sheen,Milan Susak,Vegalta Sendai,Shaquille ONeal,Cosmin Contra,Toumba Stadium,Club Atlas,RCD Mallorca,Trabzonspor,Ledley King,SimCity,Pauleta,Tim Krul,Levi Woodbury,Leandro Guaita,Lekhwiya SC
pakistan	Busan,Astana,Sakhalin,Pauleta,Yanan,Maxis,Qantas,Yan Xishan,Paris,Cameroon,Yunnan,Botswana,Zenica,Naha,Quito,Kaká,Chicken,Leessang,Valencian,Alkmaar,Luo Gan,Cao Cao,Zhongshan,Kashiwa,Shueisha,Liu Jian,Iron Man,Hu Jintao,Armenia,Oregon,Gujarat,Croatia,Nevada,Yemen,Goa,Americas,Brooklyn,Madagascar,Mauritius,Budapest,Belize,AlQaeda,Belfast,Lyon,Sammir,Bird,Yokohama,Camellia,Katowice,Pakistan
Nintendo WiFi Connection	Nintendo DSi,Nintendo 2DS,Nintendo DS,Northrop Corporation,Vincenzo Montella,Edward Livingston,Shire of Winton,Norodom Monineath,Windows Phone,Sony Pictures Animation,Pietro Badoglio,Rise of Nations,Cosmin Contra,Löfven Cabinet,Tochigi Prefecture,Will Champion,Otto Weininger,Lu Wei politician,Chen Jianbin,Santander Spain,Giorgio Chiellini,Cristiano Zanetti,Saint Paul Minnesota,Zhang Wentian,Timon Wellenreuther,Angelo Ogbonna,Northern California,United Left Spain,Victor Ponta,Kingdom of Sicily,Sandra Day OConnor,Sean Connery,Deng Yingchao,Nagano Prefecture,Anton Chekhov,Giannis Maniatis,Édith Cresson,Alfredo Cristiani,Dianne Feinstein,Kingdom of Italy,OS X Mountain Lion,CSX Transportation,Brendon Šantalab,Like a Virgin song,Friends season 7,Nankai University,Mari Kiviniemi,Wind song,Niklaus Wirth,Nintendo WiFi Connection
Northeastern University USA	Brandeis University,Cornell University,Leiden University,Sichuan University,Wuhan University,Stanford University,Clark University,Brown University,Tulane University,Auburn University,Inha University,Nankai University,Northwest Territories,Worcester City FC,San Jose State University,Northern California,Southend United FC,National Cheng Kung University,Worcestershire,Gothenburg Municipality,Robert Trivers,Exeter City FC,State University of New York,Northrop Corporation,Jetstar Airways,North Brabant,Melbourne City FC,Newcastle Jets FC,Mohamed Morsi,University of Jena,Merrimack River,Connecticut River,West Virginia,North Carolina,Notre Dame de Paris,North Sea,Newark New Jersey,London Underground,Salt Lake City,John Eaton politician,Southern Tang,Dutch East Indies,Forensic Heroes,Ho Chi Minh City,John Roberts,Battle Fever J,Netherlands Antilles,Western Yugur language,Banastre Tarleton,Northeastern University
Ashkan Dejaga	Astana,Hakan Yakin,Asamoah Gyan,Milan Susak,AlQaeda,Chandigarh,Kushan Empire,Takuya Terada,Alan Sheehan,Ahmed Ouyahia,Alianza Lima,John Bercow,Animax Asia,Zhang Wentian,Anwar Sadat,Zhang Yesui,Air Canada,Akhenaten,Shanghai,AC Omonia,Daisuke Sakata,Esbjerg,Andi Herzog,Wuhan Zall FC,Setagaya,AS Nancy,Al Ain FC,Ander Herrera,Cosmin Contra,Ched Evans,Ivan Silayev,Pauleta,Haruna Kojima,Shueisha,Atsugi Kanagawa,Camellia,Qin Sheng,Yan Xishan,Yugawara,Nilo Peçanha,Jahangir,Alkmaar,Zhongshan,Odawara,Arjen Robben,Yashio Saitama,Yokohama,Bertrand Delanoë,Ronan Keating,Ashkan Dejagah
