Dimitris Sioufas	Dimitris Sioufas,Dimitrios Droutsas,Dimitrios Grapsas,Dimitrij Rupel,Demetris Christofias,Dmitry Livanov,Antonis Samaras,Giannis Ragousis,Javier Solana,Karolos Papoulias,Victor Ponta,Andris Piebalgs,Pedro Solbes,Daniel Scioli,David Libai,Valdis Birkavs,David Dinkins,Devin Nunes,Victor Ciorbea,Morris Iemma,Boris Nemtsov,Margaritis Schinas,Dieter Althaus,Tzipi Livni,Microsoft,Alexis Tsipras,Edmund Szoka,Mauritius,Jim Molan,Chris Huhne,South Sudan,Marisa Matias,Doris Leuthard,Albio Sires,Siiri Oviir,Dmitry Mezentsev,Academia Sinica,Aamir Khan,Alastair Goodlad,M%C3%A1rio Soares,United Russia,United Nations,Lithuania,Tajikistan,Mauritania,Eiki Nestor,Antanas Mockus,Mike Simpson,Neritan Ceka,Tim Fischer
Arne Duncan	Arne Duncan,Anke Fuchs,Jane Harman,Argentina,Anne McLellan,Abu Darda,Anson Chan,Dan Burton,Frank Jensen,Piet Bukman,Meir Dagan,Apple Inc.,Adobe Inc.,Arlene Foster,Vern Buchanan,Joyce Quin,Anna Eshoo,Don Young,Ben Cardin,Dan Boren,Noel Davern,Greg Walden,Ernest Moniz,Mark Dayton,Alice Rivlin,Al Green,Ahmed Galal,Kate Brown,Dave Weldon,Jim Molan,Paul Ryan,Uzi Landau,Dan Tichon,Jerry Moran,Eric Cantor,Marine Le Pen,South Sudan,Bernd Lange,Siv Jensen,Jorge Illueca,France,Ron Wyden,Senegal,Arsen Avakov,Brunei,Anna Fotyga,France Cukjati,Hans Hillen,Anne Hidalgo,Werner Faymann
Anatoliy Eduardovich Serdyukov	Anatoly Serdyukov,Emilio Eduardo Massera,Andriy Sadovyi,Yuriy Kravchenko,Nadiya Savchenko,Blagovest Sendov,Nikolai Levichev,Petro Poroshenko,Andreas Loverdos,Vladimir Georgiyevich Titov,Hennadiy Udovenko,Eduard Shevardnadze,Sergey Mikhaylovich Ignatyev,Leonid Kravchuk,Antonio Brancaccio,Angela Merkel,Yury Luzhkov,Yevgeny Primakov,Alexander Dzasokhov,Boris Nemtsov,Alexander Lentsov,Vladimir Yegorov,Valeriy Horbatov,Pavel Grachev,Alexander Medvedev,Mikhail Gorbachev,Igor Konashenkov,George Radanovich,Antonio Inoki,Alexei Mordashov,Alexander Tikhonov,Valeriy Khoroshkovskyi,Aslan Maskhadov,Bill Richardson,Vladimir Yevtushenkov,Carolyn McCarthy,Anil Kakodkar,Ali Abdullah Saleh,Andranik Margaryan,Viktor Khristenko,Tatyana Golikova,Vladimir Anatolyevich Yakovlev,Antonis Samaras,Akhmad Kadyrov,Patty Murray,Abdullah II of Jordan,Magomedali Magomedov,Abdullah of Saudi Arabia,Carlos Rodado Noriega,Pedro Aguirre Cerda
Ramzan Akhmadovich Kadyrov	Ramzan Kadyrov,Akhmad Kadyrov,Aslan Maskhadov,Sergey Mikhaylovich Ignatyev,Umar Dzhabrailov,Lamar Alexander,Saken Zhasuzakov,Emmanuel Macron,Akhmedjan Essimov,Jadranka Kosor,Juan Antonio Samaranch,Yaakov Edri,Nana Akufo-Addo,Alexander Dzasokhov,Mikhail Margelov,Arsen Avakov,Vladimir Yegorov,Jean Schmidt,George Radanovich,Pavel Astakhov,Raymond Barre,Dan Tichon,Valentin Pavlov,Rumen Radev,Kakha Kaladze,Irina Yarovaya,Spanish Navy,Roman Herzog,Rajendra K. Pachauri,Oscar Luigi Scalfaro,Canadian Army,Amanullah Khan,Samuel Schmid,Dawn Primarolo,Juan Almeida Bosque,Jean-Louis Tauran,Nadiya Savchenko,Hassan II of Morocco,Hassan Rouhani,Lucien Bouchard,Osama bin Laden,Rosa Aguilar,Dzhokhar Dudayev,Taha Yassin Ramadan,Ryszard Kalisz,Mintimer Shaimiev,Karim Massimov,Nikolai Levichev,Yevgeny Primakov,Romania
Sam Brownback	Sam Brownback,Sam Johnson,Kate Brown,Jan Pronk,Sardinia,Jim Prentice,Dan Burton,Joe Crowley,Jerry Brown,Jim Molan,Pat Buchanan,Kit Bond,Dan Boren,Steve Bracks,Jim Bunning,Emma Bonino,Catalonia,Suriname,Napoleon,Omar Bongo,Javier Solana,Aamir Khan,Paul Tsongas,Wim Kok,Sadako Ogata,The Bahamas,Saudi Arabia,Mauritania,Romania,Estonia,Al Green,Taiwan,Norm Coleman,Mark Binskin,Allan Rock,Le Point,Gary Locke,Jim Doyle,Mark Kirk,Andrew Card,Don Young,Bob Taft,Tony Blair,Sony,Tim Holden,Salman Khan,Bob Graham,Jay Carney,Madeira,Barney Frank
Ali Abbasov	Ali Abbasov,Alu Alkhanov,Eli Suissa,Arsen Avakov,Boris Nemtsov,Airbus,Oleg Lobov,Amy Adams,Abu Darda,Edi Rama,Al Green,Libya,Sam Johnson,Idi Amin,Yury Luzhkov,Amr Waked,Al Gore,Greg Abbott,Eli Lilly,Avijit Roy,Ana Palacio,Alexei Mordashov,Albio Sires,Alain Berset,Serhiy Arbuzov,Els Borst,Fidesz,Tulsi Gabbard,Elizabeth II,Saudi Arabia,Arab League,Burkina Faso,Ahmed Galal,Honduras,Lithuania,Vietnam,Slovakia,The Bahamas,Taiwan,Eiki Nestor,Alfred Sant,David Libai,Rein Lang,Vlad Filat,Mike Simpson,David Emerson,Allan Rock,Ed Balls,Phil Robertson,John Abizaid
Evo Morales	Evo Morales,Ed Balls,Honduras,Wales,Google,Jim Doyle,Jim Molan,Al Gore,Dan Boren,Els Borst,Comoros,Bob Dole,Portugal,Israel,The Bahamas,Bill Bradley,EH Bildu,Pedro Solbes,Al Green,Robin Hayes,Jerry Moran,Geoff Davis,Ted Poe,Edi Rama,Paulo Maluf,Morocco,Joe Crowley,Jay Carney,Gwen Moore,Bob Graham,Lionsgate,Tim Holden,Eric Holder,Redha Malek,Bill Gates,Amy Adams,Albio Sires,Eli Lilly,Eritrea,Yves Cochet,Tom Udall,Steve Bracks,Ian Paisley,Napoleon,Tom Carper,John Sarbanes,Amr Waked,Ehud Barak,Novartis,Pio Laghi
Paul Ryan	Paul Ryan,Paul Biya,Paul Simon,Pakistan,Paul Reeves,Paul Martin,Palau,Guyana,Taiwan,Paulo Maluf,Yash Ghai,Mart Laar,Paul Tsongas,Shaul Mofaz,Dagestan,Napoleon,Yahya Khan,Aamir Khan,Tajikistan,Iceland,Iran,Russia,Mauritania,Portugal,Bulgaria,Nigel Evans,Tony Blair,Mark Kirk,Anson Chan,Al Green,Port Said,Todd Akin,Latvia,Rand Paul,Sardinia,Nauru,Wales,Rein Lang,Kate Brown,Chuck Robb,Jack Lew,Bill Young,Mark Pryor,Pat Buchanan,Madeira,Mark Dayton,Jim Molan,Mark Rutte,Edi Rama,Mauritius
Mümtaz Soysal	M%C3%BCmtaz Soysal,Anwar Sadat,Ahmed Galal,Donna Shalala,Omar Bongo,Mart Laar,Victor Ponta,Anna Fotyga,Jim Molan,Emma Bonino,South Sudan,Edmund Szoka,Kiran Desai,Jim Doyle,South Korea,Catalonia,Shaul Mofaz,Quamrul Hassan,Ramzan Kadyrov,Yahya Khan,Marat Tajin,Hassan Rouhani,Martha McSally,Marisa Matias,Tigran Torosyan,Eli Suissa,Steny Hoyer,Pedro Solbes,Muammar Gaddafi,Jim Risch,Jim Ramstad,Morris Iemma,Vlad Filat,Jean Spautz,Marco Maciel,Tom Udall,Samuel Schmid,Sam Johnson,Bobby Jindal,Aamir Khan,Leonid Gozman,Jyoti Basu,Vitaliy Masol,Els Borst,Elena Salgado,Salman Khan,Jim Saxton,Thad Cochran,Gazprom,Milan Uhde
African Union – United Nations Hybrid Operation in Darfur	United Nations%E2%80%93African Union Mission in Darfur,Syrian Social Nationalist Party,American University of Beirut,African National Congress,Shanghai Cooperation Organisation,United States Virgin Islands,American Psychological Association,International Criminal Court,Saint Vincent and the Grenadines,Sovereign Military Order of Malta,Alliance for the Future of Austria,Director of National Intelligence,Radio Television of Serbia,Memorial University of Newfoundland,Andrew Adonis, Baron Adonis,Jean Corston, Baroness Corston,United Nations,Monarchy of the United Kingdom,Bosnia and Herzegovina,Hungarian Democratic Forum,Saint Kitts and Nevis,Amnesty International,Provisional Irish Republican Army,Winnie Madikizela-Mandela,Brazilian Social Democracy Party,Communist Party of the Russian Federation,Indian National Congress,National Party of Australia,Turki bin Faisal Al Saud,Democratic Unionist Party,Brazilian Socialist Party,Miriam Defensor Santiago,Khalid bin Sultan Al Saud,Juan Alfonso Fuentes Soria,Christine Haderthauer,African Union,Central American Bank for Economic Integration,United Arab Emirates,Security Service of Ukraine,Union of Right Forces,University of Cape Town,Pontifical Catholic University of Chile,New York City Police Department,Seoul National University,United Socialist Party of Venezuela,Aivaras Abromavi%C4%8Dius,Party of the Democratic Revolution,University of the Philippines,Communist Party of Bohemia and Moravia,Toronto Metropolitan University
Jean-François Hory	Jean-Fran%C3%A7ois Hory,Jean-Louis Tauran,Jean-Pierre Soisson,Renato Soru,Fran%C3%A7ois Loos,Jadranka Kosor,Jean-Claude Gaudin,Jean Charest,Jean Asselborn,Fernando Flores,Jair Bolsonaro,Francis Maude,Johannes Hahn,Franz Vranitzky,Pope Francis,Ian Paisley,Canadian Army,Harrison Ford,General Motors,Jean-Michel Baylet,Jean-David Levitte,Jean Spautz,Jan Kohout,Hans-Rudolf Merz,Juan Lozano,Jean Schmidt,Kenji Goto,Jan Pronk,Douglas Hurd,Hans van den Broek,Werner Hoyer,Ivan Safronov,Fernando Lorenzo,Duncan Kerr,Fran%C3%A7ois Goulard,Jerry Moran,Taro Kono,Heinz Fischer,Peronism,Sebastian Kurz,John Danforth,Fran%C3%A7ois Zimeray,Peter Cosgrove,French Army,Yaakov Edri,French Navy,Marion Barry,Spanish Army,Narendra Modi,Spanish Navy
Andranik Markaryan	Andranik Margaryan,Antonis Samaras,Andriy Sadovyi,Anand Satyanand,Indrek Tarand,Andrew Robathan,Tigran Torosyan,Vladimir Markin,Andris Piebalgs,Andrew Card,Antanas Mockus,Alain Madelin,Sanna Marin,Emmanuel Macron,Anil Kakodkar,Jack Markell,Irina Yarovaya,Aslan Maskhadov,Andrew Lansley,Mehdi Bazargan,Anne McLellan,Frank Swaelen,Angela Merkel,Wangari Maathai,Susana Malcorra,Fareed Zakaria,Jane Harman,Adrienne Clarkson,Anson Chan,Andreas Loverdos,Afghanistan,Vern Buchanan,Mikhail Margelov,Frank Jensen,Mikhail Gorbachev,Werner Faymann,Antonio Inoki,Paul Martin,Jerry Moran,Dick Marty,David L. Aaron,Chris Murphy,Marion Barry,Andrus Ansip,Mark Warner,Hasmik Poghosyan,Pedro Carmona,Anders Samuelsen,Mario Barletta,Anthony G. Brown
Aleksandar Vulin	Aleksandar Vulin,Oleksandr Kuzmuk,Alexander Stubb,Alexandr Vondra,Alexander Ankvab,Alexander Lentsov,Sanna Marin,Alain Madelin,Alexander Tikhonov,Edelgard Bulmahn,African Union,Vlad Filat,Anson Chan,Claudio Huepe,Allan Rock,Alexander Dzasokhov,Marat Tajin,Rand Paul,Alexander Medvedev,Joseph Stalin,Ben Cardin,Andrus Ansip,Gerald Klug,Manuel Valls,Uzi Landau,Tanja Fajon,Javier Solana,Aosta Valley,Jeb Hensarling,Susan Collins,Anwar Sadat,Hans Blix,Aamir Khan,Angela Merkel,Giancarlo Galan,Alice Rivlin,Claudia Nolte,Reuven Rivlin,Yehudah Glick,Anne-Marie Lizin,Hassanal Bolkiah,Madrid,Henrik,Iceland,Burkina Faso,Vladimir Markin,Fernando Flores,Alfred Sant,Roland Koch,Fernando Lorenzo
Alexander Stubb	Alexander Stubb,Alexander Ankvab,Alexander Lentsov,Alexandr Vondra,Alexander Dzasokhov,Alexander Medvedev,Alexander Tikhonov,Aleksandar Vulin,Allan Rock,Adrian Smith,Alfred Sant,Ken Starr,Rand Paul,Jean Spautz,Werner Hoyer,Gerald Klug,Eliane Karp,Alain Berset,Angela Merkel,Anwar Sadat,Javier Solana,Oleksandr Kuzmuk,Iceland,Afghanistan,Johannes Hahn,Peter Hintze,Andrew Card,Roland Koch,Peter Welch,Allan H. Meltzer,Andrus Ansip,Steven Chu,Roman Herzog,Vlad Filat,Pedro Solbes,Joachim Gauck,Lothar Bisky,Claudio Huepe,Renato Soru,Oliver Letwin,Daniel Scioli,Emmanuel Macron,Olene Walker,Elizabeth II,Edmund Szoka,Angelo Scola,Francis Maude,Ole von Beust,Peter Wittig,Alexei Mordashov
Rebecca Harms	Rebecca Harms,Monika Harms,Robin Hayes,Jane Harman,Rebiya Kadeer,Redha Malek,Greta Garbo,French Army,Albio Sires,George Habash,Sanna Marin,Rick Larsen,Chet Edwards,Babacar Gaye,Rein Lang,Helen Clark,Geoff Davis,Henk Kamp,Abu Darda,Bob Graham,Tatars,Gibraltar,Rumen Radev,Dick Marty,Raymond Barre,Gerrit Zalm,French Navy,Renato Soru,Theresa May,Dale Bumpers,Amy Adams,John Sarbanes,Eliane Karp,Beverley Hughes,Ed Balls,Marisa Matias,Steny Hoyer,Melissa Bean,Olene Walker,Devin Nunes,Tanja Fajon,Edi Rama,Anke Fuchs,Robin Cook,Peter DeFazio,Sheikh Hasina,Roberta Pinotti,Francis Maude,Leo Varadkar,Mart Laar
Mikhail Margelov	Mikhail Margelov,Michael Fallon,Mikhail Gorbachev,Michel Barnier,Alain Madelin,Michel Mercier,Jack Markell,Karim Massimov,Vitaliy Masol,Nikolai Patrushev,Paul Martin,Mike Crapo,Michael Flynn,Mario Barletta,Michel Camdessus,Akhmad Kadyrov,Marco Maciel,Richard Branson,Serhiy Arbuzov,Michael Ignatieff,Redha Malek,Murtaza Rakhimov,Mark Warner,Michael Dukakis,Michael Howard,Richard Bruton,Connie Morella,Chaim Herzog,Pasqual Maragall,Miguel Arraes,Michael E. Ryan,T. Michael Moseley,Mikheil Saakashvili,Nikolai Levichev,Nikolay Dobrev,Valentin Pavlov,Ivan Safronov,Viktor Stepanov,Valeriy Horbatov,Kiro Gligorov,Alexei Mordashov,Rick Larsen,Dick Marty,Mike Simpson,Yevhen Marchuk,Moshe Arens,Eric Garcetti,Marko Mihkelson,Novruz Mammadov,Eiki Nestor
Gun Hellsvik	Gun Hellsvik,Dean Heller,Henrik,Ed Balls,Hans Hillen,Fleur Pellerin,Jon Tester,Ron DeSantis,Nancy Pelosi,Poul Nielson,Gavin Newsom,Dick Celeste,Paul Reeves,Siv Jensen,GSK plc,Geoff Davis,Norm Kelly,Guido Carli,Hans Blix,Jan Pronk,Ben Cardin,Mary Fallin,Ana Palacio,Tim Holden,Gerd Leers,Ahn Cheol-soo,Elon Musk,Yuriy Ilyin,Yuli Edelstein,Eli Lilly,Susan Collins,Kiran Desai,Brunei,Ian Paisley,Grace Kelly,Turkmenistan,Russia,Bulgaria,EH Bildu,Tony Blair,Sanna Marin,Jim Ramstad,Audi,Harri Holkeri,Eiki Nestor,Mark Binskin,Eli Suissa,Els Borst,Jim Risch,Andrew Card
Michel Mercier	Michel Mercier,Michel Barnier,Michel Suleiman,Miguel Arraes,Jochen Borchert,Pierre Werner,Marco Maciel,Mitch Landrieu,Michael Bloomberg,Rick Boucher,Wilhelm Molterer,Michael Flynn,Michael Howard,Michael Fallon,Michael Dukakis,Yevhen Marchuk,Michael Ignatieff,Michael E. Ryan,Michel Camdessus,Paul Martin,Angela Merkel,Lionel Jospin,Marie Bashir,Tim Fischer,Dick Marty,Moshe Arens,Mikhail Margelov,Walter Momper,Marek Jurek,Dick Spring,Mike Crapo,Bill Ritter,Mark Warner,Leszek Miller,Lionel Bowen,Pavel Grachev,Laurenz Meyer,John Warner,Rick Larsen,David Dreier,Ernie Fletcher,Zbigniew Messner,TotalEnergies,T. Michael Moseley,Yves Cochet,Lucien Bouchard,Alain Berset,Jacques Santer,Mikhail Gorbachev,Noel Davern
Yevgeny Shevchuk	Yevgeny Shevchuk,Yevhen Marchuk,Leonid Kravchuk,Yevgeny Primakov,Steven Mnuchin,Yves Cochet,Kevin Spacey,Steven Chu,Peter Welch,Yuriy Kravchenko,Pavel Grachev,Sergey Menyaylo,Sergey Aksyonov,George Shultz,Sergey Gaplikov,Reuven Rivlin,Yehudah Glick,Yuval Steinitz,Hanno Pevkur,George Weah,Yves Leterme,Lee Teng-hui,Meir Sheetrit,Heinz Fischer,Sonny Perdue,Ernie Fletcher,Helen Clark,Angelo Scola,Gennady Troshev,Anatoly Serdyukov,Nadiya Savchenko,George Voinovich,Pavel Astakhov,Yury Chaika,Ivan Safronov,Arsen Avakov,Dov Shilansky,Nikolai Levichev,Robert Zoellick,Rumen Radev,Bogdan Klich,Steny Hoyer,Henry McLeish,Dave Weldon,Jochen Borchert,Samuel Schmid,Chiang Kai-shek,Peter DeFazio,Steve Bracks,Penny Pritzker
R. Nicholas Burns	R. Nicholas Burns,Rob Nicholson,Nigel Evans,Rebecca Harms,Nikolay Dobrev,Douglas Hurd,Richard Branson,Michel Barnier,Richard Bruton,T. Michael Moseley,H. R. McMaster,Justicialist Party,Marion Barry,Michael Flynn,Rick Larsen,Dan Tichon,Richard Caborn,Raymond Barre,Melissa Bean,Sheikh Hasina,Monika Harms,Chris Huhne,Albio Sires,Richard Nixon,Roman Herzog,Lothar Bisky,Deutsche Bahn,Els Borst,Napoleon,Rick Santorum,Nicolae Timofti,Violeta Bulc,Nicole Ameline,Iceland,African Union,Honduras,Netherlands,Duncan Kerr,Lionel Bowen,Rick Boucher,C. Boyden Gray,Patrick M. Hughes,Richard Danzig,Roland Koch,Robin Hayes,Dan Burton,Michael E. Ryan,Michael Fallon,Nauru,J. Jayalalithaa
Audronius Ažubalis	Audronius A%C5%BEubalis,Andris Piebalgs,Andrus Ansip,Antonis Samaras,Saudi Arabia,Karolos Papoulias,Andreas Loverdos,Ali Abbasov,Pedro Solbes,Antonio Inoki,Dennis Daugaard,Honduras,Monika Harms,Burkina Faso,Andriy Sadovyi,Andranik Margaryan,Laurent Fabius,Giannis Ragousis,Joseph Stalin,Rudy Giuliani,Tony Blair,Gerasimos Arsenis,Afghanistan,Ed Balls,Adrian Smith,Anson Chan,France Cukjati,Robin Hayes,Peronism,David Libai,Carlos Slim,John Abizaid,Morris Iemma,Andrew Powell,Nuon Chea,Andrew Card,Antanas Mockus,Geoff Davis,Daniel Scioli,Tariq Aziz,Alexander Stubb,Electronic Arts,Turkmenistan,Anne Hidalgo,Alfonso Guerra,Alu Alkhanov,Arnold Koller,Alexander Ankvab,Rodrigo Rato,Valdis Birkavs
Ewald Nowotny	Ewald Nowotny,Edward Snowden,Lloyd Axworthy,Els Borst,Jan Pronk,Jan Kohout,Eiki Nestor,Harald Kujat,Taro Kono,Vlad Filat,Brian Cowen,Claudia Nolte,Thad Cochran,Dan Boren,Juan Lozano,Howard Coble,Emma Bonino,Enda Kenny,Bill Young,Richard Nixon,Paul Simon,Gwen Moore,Kate Brown,Eli Lilly,Edmund Szoka,Poul Nielson,Leonid Gozman,Hans Hillen,Arnold Koller,David Vitter,Gerald Klug,Richard Caborn,Ehud Olmert,Mark Rutte,Ehud Barak,Oleg Lobov,John Dawkins,Dan Tichon,Roland Koch,Ivan Rybkin,Dave Weldon,Al Gore,David Dinkins,Simon Coveney,Jean Spautz,Iliana Iotova,Dick Marty,Bill Gates,Kenji Goto,Noel Davern
Joris Voorhoeve	Joris Voorhoeve,John Boehner,Lars Barfoed,Doris Leuthard,James Florio,Chris Huhne,Julius Nyerere,Boris Nemtsov,Cory Booker,Jan Kohout,Borut Pahor,Jochen Borchert,Jordi Turull,Yves Cochet,Sofia Voultepsi,Boyko Borisov,Jerry Moran,Jorge Illueca,Corina Casanova,Louise Arbour,Joel Villanueva,Eric Holder,Chris Murphy,Julie Bishop,John Warner,Kirk Fordice,Robin Cook,Jerry Brown,Joe Crowley,Peter Cosgrove,Jim Doyle,Gwen Moore,South Korea,Els Borst,Jan Pronk,John Kufuor,John Sarbanes,Harri Holkeri,Joseph Prueher,Moshe Arens,Jair Bolsonaro,George Voinovich,Valdis Birkavs,Habib Bourguiba,David Vitter,Jerry Weller,David Dreier,Marie Bashir,Kiro Gligorov,Alain Berset
Brunei	Brunei,Burundi,Iran,Benin,France,Audi,Russia,Israel,Ukraine,Greece,Nauru,Wales,Fiji,Guam,Eritrea,Vietnam,Sony,Buryatia,Taiwan,Boeing,Henrik,Portugal,Belgium,Argentina,Guyana,Estonia,Romania,Bulgaria,Spain,Smile,Tuva,Fidesz,Madrid,Latvia,IBM,Sardinia,Madeira,Sicily,Senegal,Suriname,Morocco,UNICEF,Libya,Gabon,Nokia,Nokia,Tatars,Google,Meretz,Airbus
José María Gil-Robles	Jos%C3%A9 Mar%C3%ADa Gil-Robles,Howard Coble,John Sarbanes,Joe Crowley,Evo Morales,John R. Allen,Carla Del Ponte,Jack Markell,Kaspar Villiger,Aosta Valley,Fernando Flores,Pedro Solbes,T. Michael Moseley,John Warner,Mario Blejer,Roberta Pinotti,Susana Malcorra,Leszek Miller,Jennifer Granholm,Hans Hillen,Rosen Plevneliev,Jacques Delors,Josh Frydenberg,Lothar Bisky,Mark Rutte,Joseph Stalin,Don Manzullo,Pope Francis,John F. Tierney,Jerry Weller,Mary Fallin,John Dawkins,Wayne Gilchrest,Joseph Ki-Zerbo,John Hickenlooper,Lord Chancellor,Joris Voorhoeve,Osama bin Laden,M%C3%A1rio Soares,Tatyana Golikova,Kostas Karamanlis,Richard Holbrooke,Omar Torrijos,Luis Posada Carriles,Marco Maciel,Javier Solana,Jorge Illueca,Jaume Matas,Bill Bradley,J. Jayalalithaa
Bosnia and Herzegovina	Bosnia and Herzegovina,Roman Herzog,Denis Berezovsky,Connie Hedegaard,Beniamino Andreatta,Boris Nemtsov,United Russia,African Union,United Nations,Corina Casanova,TotalEnergies,Bank of America,Waseda University,Cristina Garmendia,Richard Branson,Monika Harms,Christine Egerszegi,Mikhail Margelov,Council of Europe,Connie Morella,Brian Cowen,Iliana Iotova,Bogdan Borusewicz,Mohammad Beheshti,Ayaan Hirsi Ali,Irina Yarovaya,Richard Bruton,Brian Mikkelsen,Sotirios Hatzigakis,Chaim Herzog,Dianne Feinstein,Rosen Plevneliev,Angela Merkel,Inner Mongolia,Montenegro,Iberian Peninsula,Javier Solana,Neritan Ceka,Bulgaria,Romania,Saudi Arabia,Cape Verde,Law and Justice,Burkina Faso,Central America,Sanna Marin,Argentina,Mauritania,Associated Press,Sheikh Hasina
Bill Gates	Bill Gates,Bill Ritter,Bill Bradley,Bill Young,Bill Shorten,Fine Gael,Willy Claes,Al Green,Lionsgate,Al Gore,Fidel Castro,Holy See,Bulgaria,Ed Balls,Robin Hayes,Wales,Nigel Evans,Paul Reeves,Bob Taft,Bob Graham,Rick Larsen,Dick Marty,Paul Martin,Bram Peper,Milan Uhde,Jim Saxton,Fidesz,Noel Davern,Bob Dole,Brian Cowen,Jaume Matas,Amr Waked,Buryatia,Celso Lafer,Pio Laghi,Iceland,Israel,Honduras,Belgium,Lithuania,Vietnam,Slovakia,Port Said,Bill Richardson,Dick Celeste,Airbus,Jim Doyle,William Cohen,Vince Cable,Eiki Nestor
Kostas Skandalidis	Kostas Skandalidis,Kostas Karamanlis,Christos Stylianides,Nikitas Kaklamanis,Donna Shalala,Aosta Valley,Port Said,Apostolos Kaklamanis,Aristotelis Pavlidis,Giorgos Kaminis,Lucas Papademos,John Sarbanes,Joseph Stalin,Kakha Kaladze,Kaspar Villiger,Elena Salgado,Pietro Lunardi,Ron DeSantis,Joseph Stiglitz,Anwar Sadat,Bobby Jindal,South Sudan,Mitch Landrieu,Pascal Canfin,Russ Feingold,Pope Francis,Forza Italia,Carlos Santana,TotalEnergies,James G. Stavridis,Susan Collins,Antonis Samaras,Evripidis Stylianidis,Anastasios Peponis,Karolos Papoulias,Andris Piebalgs,Curtis Scaparrotti,Morgan Tsvangirai,Ryszard Kalisz,Saxby Chambliss,Moshe Arens,Aslan Maskhadov,Monika Harms,Tommy Lapid,John Dawkins,Dennis Daugaard,Matti Vanhanen,Khakassia,Anders Samuelsen,Jutta Urpilainen
Chuck Grassley	Chuck Grassley,Chuck Robb,Chris Grayling,Rick Larsen,Ian Paisley,Bill Bradley,Frank Swaelen,Andrew Lansley,Dick Marty,Ahmed Galal,Vince Cable,Bruce George,Dick Celeste,Joe Crowley,Pavel Grachev,Khakassia,Aosta Valley,Chuvashia,Chris Huhne,Bob Graham,Jay Carney,Bill Gates,Jack Markell,Celso Lafer,Marco Maciel,Al Green,Terry Branstad,Mark Warner,Jack Layton,Chris Murphy,Frank Jensen,Kevin Brady,Jack Lew,Hugo Banzer,Paulo Maluf,Luiz Gushiken,Redha Malek,Kevin Spacey,Ehud Barak,Lucy Turnbull,Beppe Grillo,Rick Boucher,Sheikh Hasina,Evo Morales,Grace Kelly,Chiang Kai-shek,Chechnya,Church of Greece,Fine Gael,Mike Crapo
Morris Iemma	Morris Iemma,Boris Nemtsov,Gerrit Zalm,Mauritania,Norm Kelly,Andrus Ansip,Norm Coleman,Edi Rama,Jerry Lewis,Carlos Slim,Marisa Matias,Mario Blejer,Sherry Rehman,Monika Harms,Chris Huhne,Eritrea,Doris Leuthard,Carlos Menem,Darrell Issa,Yuriy Ilyin,Gerrit Braks,Carlos Tevez,Madrid,Holy See,Forza Italia,Montenegro,Ukraine,Port Said,Sardinia,Meretz,Marion Barry,Robin Hayes,Marcus Stephen,Madeira,Mark Kirk,Nokia,Nokia,Chris Murphy,Neritan Ceka,Toivo Asmer,Jerry Moran,David Ige,Melissa Bean,Robin Cook,John Key,Microsoft,Tzipi Livni,Bram Peper,Harrison Ford,Gabriel Oprea
Dagestan	Dagestan,Pakistan,Tajikistan,Taiwan,Argentina,Madeira,Wales,Russia,Iran,Iceland,Mauritania,Vietnam,Fidesz,Napoleon,Latvia,Afghanistan,Tatars,Benin,Senegal,Madagascar,Gabon,Meretz,Lesotho,Turkmenistan,Bulgaria,Paul Ryan,Palau,Kadima,Dan Burton,Romania,Estonia,Greece,Israel,Madrid,Honduras,Dan Boren,Spain,Portugal,Guyana,Buryatia,Sardinia,Nauru,Libya,Tuva,Gibraltar,Nokia,Nokia,Mauritius,Eritrea,Sufism
Antônio Carlos Magalhães	Ant%C3%B4nio Carlos Magalh%C3%A3es,Antonis Samaras,Carlos Menem,Antanas Mockus,Antonio Brancaccio,Antonio Inoki,Carlos Santana,Carlos Slim,Carlos Tevez,Karolos Papoulias,Giancarlo Galan,Bruno Stagno Ugarte,Andranik Margaryan,Monika Wulf-Mathies,Giorgos Kaminis,Wangari Maathai,Apostolos Kaklamanis,Aristotelis Pavlidis,Fernando Flores,Ant%C3%B3nio Guterres,Marco Maciel,T. Michael Moseley,Emilio Eduardo Massera,Pedro Carmona,Paulo Maluf,Carles Puigdemont,Mario Barletta,Peter Cosgrove,Alfredo Barnechea,Arnold Koller,Patrick M. Hughes,Artur Rasizade,Andris Piebalgs,Evo Morales,Beverley Hughes,Anders Samuelsen,Ignazio Cassis,Allan H. Meltzer,Mikhail Margelov,Vitaliy Masol,Andrew Lansley,John Sarbanes,Albio Sires,Dimitrios Grapsas,Mikhail Gorbachev,Mintimer Shaimiev,Aosta Valley,Petro Poroshenko,Anand Satyanand,Bruno Le Maire
