Dimitris Sioufas	Dimitrios Droutsas,Dimitrios Grapsas,Dimitrij Rupel,Dmitry Livanov,Demetris Christofias,Mário Soares,Antonis Samaras,Giannis Ragousis,Javier Solana,Mümtaz Soysal,Karolos Papoulias,Victor Ponta,Andris Piebalgs,Pedro Solbes,Daniel Scioli,Hindi cinema,David Libai,François Loos,Éric Raoult,Valdis Birkavs,David Dinkins,Devin Nunes,Victor Ciorbea,Morris Iemma,Boris Nemtsov,Dieter Althaus,Tzipi Livni,Microsoft,Margaritis Schinas,Alexis Tsipras,Edmund Szoka,Mauritius,Jim Molan,Chris Huhne,Albio Sires,South Sudan,Marisa Matias,Doris Leuthard,François Zimeray,Siiri Oviir,Dmitry Mezentsev,François Goulard,Academia Sinica,Aamir Khan,Alastair Goodlad,United Russia,United Nations,Lithuania,Tajikistan,Dimitris Sioufas
Anson Chan	Nuon Chea,Aamir Khan,Yash Ghai,Salman Khan,Yahya Khan,Steven Chu,John Tsang,Robin Cook,Paul Ryan,Don Young,Jason Chaffetz,Andrew Card,Rein Lang,Lincoln Chafee,Milan Uhde,Allan Rock,Ashraf Ghani,Helen Clark,Arne Duncan,Anna Eshoo,Lesotho,Brian Cowen,Milan Kučan,Arsen Avakov,Afghanistan,Ron Wyden,Anwar Sadat,Elon Musk,Josef Lux,Lê Duẩn,Ken Starr,Ben Cardin,Dan Tichon,Nigel Evans,Luis Cruz,John Key,Hans Hillen,Jerry Moran,Al Green,Taro Kono,Todd Akin,Melissa Bean,Antonio Inoki,Alfred Sant,Ahmed Galal,Dan Boren,Duncan Kerr,Thad Cochran,Mike Crapo,Anson Chan
Paavo Väyrynen	Paavo Lipponen,Matti Vanhanen,Ivan Kyrylenko,Dan Boren,Evo Morales,Paul Ryan,Jay Carney,Paul Martin,Pat Buchanan,Mark Warner,Ilkka Suominen,David Vitter,Toivo Asmer,Siv Jensen,Ron Wyden,Ivan Safronov,Patrick Mayhew,Jan Pronk,Taro Kono,Lars Barfoed,Pavel Grachev,Hugo Swire,Petar Gračanin,Pavel Tigrid,David Dreier,Hervé Morin,Dave Weldon,Albio Sires,Frank Swaelen,Yaakov Neeman,Steve Daines,Mark Pryor,Jane Harman,Urho Kekkonen,Amartya Sen,Sanna Marin,Rick Larsen,Paolo Gentiloni,Yaakov Edri,Marek Jurek,Hans Hillen,Ivan Rybkin,Bill Shorten,Paulo Maluf,Alain Berset,Frank Jensen,Paul Biya,Tsai Ing-wen,Patty Murray,Paavo Väyrynen
Connie Hedegaard	Connie Morella,Dennis Daugaard,Doris Leuthard,Connie Mack IV,Connie Mack III,Anne Hidalgo,Anne McLellan,Candice Bergen,John Redwood,John Linder,Anna Fotyga,Steny Hoyer,Monika Harms,John Boehner,Sonny Perdue,Erwin Huber,Hanno Pevkur,Danny Pieters,Tulsi Gabbard,Werner Hoyer,Jane Harman,Glenn Greenwald,Morris Iemma,Ernie Fletcher,Eric Holder,Chet Edwards,Bruno Le Maire,Anil Kakodkar,Ron Wyden,Charlie Baker,Jon Tester,Donna Shalala,John Abizaid,Andrew Card,Gianni Letta,Robin Hayes,Montenegro,Lucien Bouchard,José Alencar,Dean Heller,Joe Lieberman,Leonid Kozhara,Chaim Herzog,Michael Howard,Hindi cinema,Hage Geingob,Olene Walker,Jim Ramstad,Chris Huhne,Connie Hedegaard
Abdus Samad Azad	Abu Darda,Abdurrahman Wahid,Artur Rasizade,Anwar Sadat,Anders Samuelsen,Antonis Samaras,Salman Khan,Edi Rama,Abdalá Bucaram,Anand Satyanand,Andrus Ansip,Anil Kakodkar,Aamir Khan,Jesús Posada,Jim Ramstad,Kakha Kaladze,Andriy Sadovyi,Lucas Papademos,Leo Varadkar,Port Said,Ahmed Galal,The Bahamas,Anson Chan,Tariq Aziz,Andrew Card,Todd Akin,Amr Waked,Sardinia,Pedro Carmona,Lars Barfoed,Jean Spautz,Carlos Santana,Melissa Bean,Uzi Landau,Maher al-Assad,South Sudan,Ayaan Hirsi Ali,Shaul Mofaz,Madagascar,Bibiana Aído,Satya Nadella,Yukiya Amano,Denny Tamaki,Amanullah Khan,Andrew Robathan,Indrek Tarand,Ana Palacio,Davit Bakradze,Mehdi Bazargan,Abdus Samad Azad
Hassanal Bolkiah Mu'izzadin Waddaulah	Huda Salih Mahdi Ammash,Hassan Rouhani,Syrian Social Nationalist Party,Khalid bin Sultan Al Saud,Jalaluddin Haqqani,Taha Yassin Ramadan,José María Michavila,María Corina Machado,Pasqual Maragall,Óscar Rodríguez Maradiaga,Swraj Paul, Baron Paul,Carlos Holguín Sardi,Amanullah Khan,Abdullah of Saudi Arabia,Osama bin Laden,Winnie Madikizela-Mandela,Zine El Abidine Ben Ali,Hanja Maij-Weggen,Eduardo Brizuela del Moral,Shankar Dayal Sharma,Melanie Schultz van Haegen,Julio César Turbay Ayala,Earl Blumenauer,Giampaolo Di Paola,Vangelis Meimarakis,Jean-Claude Gaudin,Hans van den Broek,Jean-Louis Tauran,Tatyana Golikova,Michael Boyce, Baron Boyce,Pascal Couchepin,Panagiotis Lafazanis,Tassos Papadopoulos,International Criminal Court,Hungarian Democratic Forum,International Monetary Fund,Brazilian Social Democracy Party,National Party of Australia,Brazilian Socialist Party,Turki bin Faisal Al Saud,Ali Abdullah Saleh,Mahathir Mohamad,Tarek William Saab,Chaudhry Mohammad Sarwar,Hassan II of Morocco,Hamad bin Khalifa Al Thani,Wangari Maathai,Muammar Gaddafi,Lakhdar Brahimi,Hassanal Bolkiah
George Osborne	George Habash,George Weah,George Shultz,George Voinovich,Pierre Werner,Bruce George,Gary Locke,Gwen Moore,Jerry Moran,Greg Abbott,Gabriel Oprea,Jerry Brown,Sierra Leone,Jorge Illueca,Kongsberg,George Radanovich,General Motors,Leire Pajín,Gábor Vona,Hervé Morin,Gerd Leers,Borut Pahor,Sergey Aksyonov,Greece,Cape Verde,Argentina,Vince Cable,John Warner,Mark Warner,Google,José Bono,Joe Crowley,Le Point,Werner Faymann,Tony Blair,Geoff Davis,Peter Hintze,Richard Caborn,Al Gore,Werner Hoyer,Kate Brown,Ted Poe,Greg Walden,Don Young,Jean Asselborn,Toivo Asmer,Éric Besson,Louise Arbour,Göran Persson,George Osborne
Madeira	Kadima,Madrid,Latvia,Wales,Nokia,Nokia,Sardinia,Boeing,Nauru,Dagestan,Audi,Fidesz,Tatars,Meretz,Mark Kirk,Lazard,Senegal,Morocco,Madagascar,Mauritius,Gabon,Fiji,Libya,Eritrea,Benin,Taiwan,Russia,Brunei,Palau,Tuva,Smile,Sicily,Sufism,Cantabria,Mart Laar,Henrik,PepsiCo,Mike Crapo,Al Gore,Vlad Filat,Paul Biya,Ted Poe,Gazprom,Ninja,Guam,Spain,Suriname,France,Belgium,Madeira
Arne Duncan	Anke Fuchs,Jane Harman,Argentina,Anne McLellan,Abu Darda,Anson Chan,Dan Burton,Frank Jensen,Lê Duẩn,Meir Dagan,Piet Bukman,Apple Inc.,Adobe Inc.,Arlene Foster,Vern Buchanan,Éric Besson,Joyce Quin,Anna Eshoo,Don Young,Dan Boren,Ben Cardin,Noel Davern,Greg Walden,Ernest Moniz,Mark Dayton,Alice Rivlin,Al Green,Ahmed Galal,Kate Brown,Dave Weldon,Jim Molan,Paul Ryan,Uzi Landau,Dan Tichon,Jerry Moran,Eric Cantor,Bernd Lange,France,Marine Le Pen,Senegal,Siv Jensen,South Sudan,Arsen Avakov,Jorge Illueca,Ron Wyden,Anna Fotyga,Brunei,France Cukjati,Yves Guéna,Arne Duncan
Anatoliy Eduardovich Serdyukov	Emilio Eduardo Massera,Andriy Sadovyi,Yuriy Kravchenko,Nadiya Savchenko,Blagovest Sendov,Nikolai Levichev,Petro Poroshenko,Andreas Loverdos,Vladimir Georgiyevich Titov,Hennadiy Udovenko,Eduard Shevardnadze,Sergey Mikhaylovich Ignatyev,António Guterres,Leonid Kravchuk,Antonio Brancaccio,Antônio Carlos Magalhães,Angela Merkel,Yury Luzhkov,Yevgeny Primakov,Alexander Dzasokhov,Boris Nemtsov,Alexander Lentsov,Valeriy Horbatov,Pavel Grachev,Vladimir Yegorov,Alexander Medvedev,Mikhail Gorbachev,José E. Serrano,George Radanovich,Antonio Inoki,Igor Konashenkov,Alexei Mordashov,Alexander Tikhonov,Valeriy Khoroshkovskyi,Aslan Maskhadov,Bill Richardson,Vladimir Yevtushenkov,Ali Abdullah Saleh,Carolyn McCarthy,Anil Kakodkar,Richard von Weizsäcker,Andranik Margaryan,Viktor Khristenko,Tatyana Golikova,Antonis Samaras,Vladimir Anatolyevich Yakovlev,Akhmad Kadyrov,Patty Murray,Abdullah II of Jordan,Anatoly Serdyukov
Ramzan Akhmadovich Kadyrov	Akhmad Kadyrov,Aslan Maskhadov,Sergey Mikhaylovich Ignatyev,Umar Dzhabrailov,Lamar Alexander,Saken Zhasuzakov,Akhmedjan Essimov,Jadranka Kosor,Juan Antonio Samaranch,Yaakov Edri,María Corina Machado,César Camacho Quiroz,Nana Akufo-Addo,Alexander Dzasokhov,Mikhail Margelov,Arsen Avakov,Jean Schmidt,Vladimir Yegorov,George Radanovich,Pavel Astakhov,Raymond Barre,Dan Tichon,Valentin Pavlov,Rumen Radev,Recep Tayyip Erdoğan,Kakha Kaladze,Irina Yarovaya,Spanish Navy,Roman Herzog,Rajendra K. Pachauri,Oscar Luigi Scalfaro,Juan Almeida Bosque,Amanullah Khan,Canadian Army,Samuel Schmid,Dawn Primarolo,Radovan Karadžić,Radovan Karadžić,Nadiya Savchenko,Jean-Louis Tauran,Hassan II of Morocco,Lucien Bouchard,Hassan Rouhani,Emmanuel Macron,Zuzana Roithová,Osama bin Laden,Rosa Aguilar,Dzhokhar Dudayev,Taha Yassin Ramadan,Ramzan Kadyrov
Sam Brownback	Sam Johnson,Kate Brown,Jan Pronk,Sardinia,Jim Prentice,Dan Burton,Joe Crowley,Jerry Brown,Jim Molan,Pat Buchanan,Kit Bond,Dan Boren,Steve Bracks,Jim Bunning,Catalonia,Emma Bonino,Suriname,Napoleon,Omar Bongo,Javier Solana,Aamir Khan,Paul Tsongas,Ana Brnabić,Wim Kok,Sadako Ogata,The Bahamas,Saudi Arabia,Mauritania,Romania,Estonia,Taiwan,Al Green,Norm Coleman,Mark Binskin,Allan Rock,Le Point,Gary Locke,Mark Kirk,Jim Doyle,José Bono,Andrew Card,Don Young,Bob Taft,Tony Blair,Sony,Tim Holden,Salman Khan,Bob Graham,Jay Carney,Sam Brownback
Ali Abbasov	Alu Alkhanov,Arsen Avakov,Eli Suissa,Airbus,Boris Nemtsov,Oleg Lobov,Amy Adams,Abu Darda,Edi Rama,Libya,Al Green,Sam Johnson,Idi Amin,Yury Luzhkov,Amr Waked,Éric Besson,Al Gore,Greg Abbott,Eli Lilly,Avijit Roy,Ana Palacio,Albio Sires,Alexei Mordashov,Alain Berset,Serhiy Arbuzov,Ana Brnabić,Els Borst,Tulsi Gabbard,Elizabeth II,Saudi Arabia,Arab League,Burkina Faso,Ahmed Galal,Honduras,Lithuania,Vietnam,Slovakia,The Bahamas,Taiwan,Eiki Nestor,Alfred Sant,David Libai,Ninja,Rein Lang,Vlad Filat,Mike Simpson,Allan Rock,Ed Balls,David Emerson,Ali Abbasov
Evo Morales	Mário Soares,Ed Balls,Honduras,Google,Wales,Jim Doyle,Jim Molan,Al Gore,Dan Boren,Els Borst,Comoros,Bob Dole,Portugal,Israel,The Bahamas,EH Bildu,Pedro Solbes,Robin Hayes,Jerry Moran,Al Green,Geoff Davis,Paulo Maluf,Ted Poe,Edi Rama,Joe Crowley,Jay Carney,Morocco,Gwen Moore,Bob Graham,Eric Holder,Lionsgate,Tim Holden,Bill Bradley,Élcio Álvares,Redha Malek,Bill Gates,Albio Sires,Amy Adams,Eli Lilly,Eritrea,Yves Cochet,Tom Udall,Steve Bracks,Ian Paisley,Napoleon,Tom Carper,John Sarbanes,Hervé Morin,Amr Waked,Evo Morales
Paul Ryan	Paul Biya,Paul Otto,Paul Simon,Pakistan,Paul Reeves,Paul Martin,Palau,Guyana,Taiwan,Paulo Maluf,Yash Ghai,Mart Laar,Paul Tsongas,Shaul Mofaz,Dagestan,Napoleon,Yahya Khan,Aamir Khan,Tajikistan,Iceland,Iran,Russia,Mauritania,Portugal,Bulgaria,Nigel Evans,Tony Blair,Mark Kirk,Anson Chan,Port Said,Al Green,Todd Akin,Rand Paul,Chuck Robb,Rein Lang,Kate Brown,Jack Lew,Sardinia,Bill Young,Wales,Mark Pryor,Latvia,Pat Buchanan,Madeira,Nauru,Mark Dayton,Jim Molan,Edi Rama,Mark Rutte,Paul Ryan
Mümtaz Soysal	Anwar Sadat,Ahmed Galal,Donna Shalala,Omar Bongo,Mart Laar,Anna Fotyga,Jim Molan,Victor Ponta,Emma Bonino,Edmund Szoka,South Sudan,Milan Kučan,Martin Bursík,Michal Kováč,Kiran Desai,Jim Doyle,South Korea,Catalonia,Shaul Mofaz,Turgut Özal,Quamrul Hassan,Ramzan Kadyrov,Yahya Khan,Marat Tajin,Hassan Rouhani,Modibo Keïta,Martha McSally,Marisa Matias,Tigran Torosyan,Jim Risch,Eli Suissa,Steny Hoyer,Pedro Solbes,Muammar Gaddafi,Renato Soru,Jim Ramstad,Morris Iemma,Marco Maciel,Narcís Serra,Vlad Filat,Jean Spautz,Tom Udall,Samuel Schmid,Sam Johnson,Bobby Jindal,Aamir Khan,Leonid Gozman,Jyoti Basu,Vitaliy Masol,Mümtaz Soysal
African Union – United Nations Hybrid Operation in Darfur	Syrian Social Nationalist Party,American University of Beirut,African National Congress,Shanghai Cooperation Organisation,United States Virgin Islands,American Psychological Association,International Criminal Court,Saint Vincent and the Grenadines,Sovereign Military Order of Malta,Alliance for the Future of Austria,Director of National Intelligence,Pontifical Catholic University of Rio de Janeiro,Radio Television of Serbia,Memorial University of Newfoundland,Andrew Adonis, Baron Adonis,Jean Corston, Baroness Corston,Constitutional Court of Spain,United Nations,Monarchy of the United Kingdom,Bosnia and Herzegovina,Pontifical Catholic University of Chile,Hungarian Democratic Forum,University of Los Andes (Colombia),Médecins Sans Frontières,Amnesty International,Saint Kitts and Nevis,Provisional Irish Republican Army,Winnie Madikizela-Mandela,John Miller (Washington politician),Communist Party of the Russian Federation,Brazilian Social Democracy Party,Indian National Congress,National Party of Australia,Turki bin Faisal Al Saud,Democratic Unionist Party,Miriam Defensor Santiago,Brazilian Socialist Party,Khalid bin Sultan Al Saud,Juan Alfonso Fuentes Soria,Christine Haderthauer,African Union,Central American Bank for Economic Integration,United Arab Emirates,Security Service of Ukraine,Union of Right Forces,University of Cape Town,New York City Police Department,Seoul National University,University of Buenos Aires,United Nations–African Union Mission in Darfur
Jean-François Hory	François Loos,François Goulard,François Zimeray,Jean-Louis Tauran,Jean-Pierre Soisson,François Patriat,Renato Soru,Jadranka Kosor,Jean-Claude Gaudin,Jean Charest,Jean Asselborn,Fernando Flores,Jair Bolsonaro,Francis Maude,Johannes Hahn,José Ramos-Horta,Franz Vranitzky,Pope Francis,Canadian Army,Ian Paisley,Harrison Ford,General Motors,Jean-David Levitte,Jean-Michel Baylet,Jean Spautz,Jan Kohout,Hans-Rudolf Merz,Juan Lozano,Jean Schmidt,Kenji Goto,Jan Pronk,Douglas Hurd,Hans van den Broek,Werner Hoyer,Ivan Safronov,Fernando Lorenzo,Duncan Kerr,Jerry Moran,Taro Kono,Peronism,Sebastian Kurz,Heinz Fischer,John Danforth,Peter Cosgrove,French Army,Yaakov Edri,Zuzana Roithová,French Navy,Marion Barry,Jean-François Hory
Andranik Markaryan	Antonis Samaras,Andriy Sadovyi,Anand Satyanand,Indrek Tarand,Andrew Robathan,Tigran Torosyan,Vladimir Markin,Andris Piebalgs,Andrew Card,Sanna Marin,Antanas Mockus,Abdalá Bucaram,Alain Madelin,Anil Kakodkar,Jack Markell,Aslan Maskhadov,António Guterres,Irina Yarovaya,Andrew Lansley,Mehdi Bazargan,Anne McLellan,Frank Swaelen,Angela Merkel,Susana Malcorra,Fareed Zakaria,Wangari Maathai,Jane Harman,Adrienne Clarkson,Anson Chan,Andreas Loverdos,Afghanistan,Mikhail Margelov,Frank Jensen,Mikhail Gorbachev,Werner Faymann,Antonio Inoki,Paul Martin,Jerry Moran,Dick Marty,David L. Aaron,Adrian Năstase,Chris Murphy,Gladys Marín,Marion Barry,Pedro Carmona,Andrus Ansip,Göran Persson,Mark Warner,Hasmik Poghosyan,Andranik Margaryan
Aleksandar Vulin	Oleksandr Kuzmuk,Alexander Stubb,Alexandr Vondra,Alexander Ankvab,Alexandru Moșanu,Aleksander Szczygło,Alexander Lentsov,Sanna Marin,Alain Madelin,Alexander Tikhonov,Edelgard Bulmahn,African Union,Vlad Filat,Milan Kučan,Anson Chan,Claudio Huepe,Allan Rock,Alexander Dzasokhov,Petar Gračanin,Marat Tajin,Gladys Marín,Rand Paul,Alexander Medvedev,Joseph Stalin,Ben Cardin,Andrus Ansip,Gerald Klug,Manuel Valls,Uzi Landau,Alain Juppé,Tanja Fajon,Aosta Valley,Javier Solana,Susan Collins,Anwar Sadat,Jeb Hensarling,Fethullah Gülen,Hans Blix,Aamir Khan,Angela Merkel,Giancarlo Galan,Alice Rivlin,Claudia Nolte,Reuven Rivlin,Yehudah Glick,Anne-Marie Lizin,Hassanal Bolkiah,Fianna Fáil,Madrid,Aleksandar Vulin
Alexander Stubb	Alexander Ankvab,Alexander Lentsov,Alexandr Vondra,Alexander Dzasokhov,Alexander Medvedev,Alexander Tikhonov,Alexandru Moșanu,Aleksandar Vulin,Aleksander Szczygło,Allan Rock,Adrian Smith,Alfred Sant,Ken Starr,Rand Paul,Alexandre Léontieff,Jean Spautz,Werner Hoyer,Gerald Klug,Alina Fernández,Eliane Karp,Alain Berset,Angela Merkel,Anwar Sadat,Javier Solana,Oleksandr Kuzmuk,Iceland,Afghanistan,Johannes Hahn,Peter Hintze,Andrew Card,Roland Koch,Peter Welch,Allan H. Meltzer,Andrus Ansip,Steven Chu,Roman Herzog,Vlad Filat,Michael Kocáb,Pedro Solbes,Joachim Gauck,Lothar Bisky,Claudio Huepe,Daniel Scioli,Gladys Marín,Oliver Letwin,Olene Walker,Adrian Năstase,Elizabeth II,Edmund Szoka,Alexander Stubb
Rebecca Harms	Monika Harms,Robin Hayes,Jane Harman,Rebiya Kadeer,Redha Malek,Greta Garbo,French Army,Albio Sires,George Habash,Sanna Marin,Rick Larsen,Chet Edwards,Babacar Gaye,Rein Lang,Helen Clark,Dobrica Ćosić,Geoff Davis,Renato Soru,Abu Darda,Henk Kamp,Bob Graham,Gibraltar,Tatars,Rumen Radev,Dick Marty,Raymond Barre,Gerrit Zalm,French Navy,Dale Bumpers,Theresa May,Amy Adams,John Sarbanes,Eliane Karp,Beverley Hughes,Ed Balls,Marisa Matias,Steny Hoyer,Melissa Bean,Olene Walker,Devin Nunes,Tanja Fajon,Lech Wałęsa,Edi Rama,Anke Fuchs,Robin Cook,Peter DeFazio,Sheikh Hasina,Roberta Pinotti,Leo Varadkar,Rebecca Harms
Mikhail Margelov	Michael Fallon,Mikhail Gorbachev,Michel Barnier,Alain Madelin,Michel Mercier,Jack Markell,Karim Massimov,Vitaliy Masol,Nikolai Patrushev,Paul Martin,Mike Crapo,Michael Kocáb,Michael Flynn,Marco Maciel,Mario Barletta,Richard Branson,Akhmad Kadyrov,Michel Camdessus,Michal Kováč,Serhiy Arbuzov,Michael Ignatieff,Redha Malek,Murtaza Rakhimov,Mark Warner,Michael Dukakis,Michael Howard,Richard Bruton,Connie Morella,Chaim Herzog,Pasqual Maragall,Mihai Tănăsescu,Miguel Arraes,Miklós Réthelyi,Michael E. Ryan,T. Michael Moseley,Mikheil Saakashvili,Nikolai Levichev,Nikolay Dobrev,Valentin Pavlov,Ivan Safronov,Viktor Stepanov,Valeriy Horbatov,Kiro Gligorov,Alexei Mordashov,Rick Larsen,Dick Marty,Mike Simpson,Yevhen Marchuk,Moshe Arens,Mikhail Margelov
Gun Hellsvik	Dean Heller,Henrik,Ed Balls,Hans Hillen,Fleur Pellerin,Jon Tester,Ron DeSantis,Nancy Pelosi,Göran Persson,Poul Nielson,Gavin Newsom,Dick Celeste,Paul Reeves,Siv Jensen,GSK plc,Geoff Davis,Norm Kelly,Guido Carli,Hans Blix,Jan Pronk,Mary Fallin,Ben Cardin,Tim Holden,Ana Palacio,Gerd Leers,Ahn Cheol-soo,Elon Musk,Yuriy Ilyin,Yuli Edelstein,Eli Lilly,Susan Collins,Kiran Desai,Brunei,René Teulade,Ian Paisley,Grace Kelly,Turkmenistan,Russia,Bulgaria,EH Bildu,Tony Blair,Sanna Marin,Hans Engell,Jim Ramstad,Audi,Harri Holkeri,Eiki Nestor,Mark Binskin,Hans Hækkerup,Gun Hellsvik
Michel Mercier	Michel Barnier,Michel Suleiman,Michael Kocáb,Miguel Arraes,Jochen Borchert,Pierre Werner,Rick Boucher,Marco Maciel,Mitch Landrieu,Michael Bloomberg,Wilhelm Molterer,Michael Flynn,Michael Howard,Michael Fallon,Michal Kováč,Michael Dukakis,Yevhen Marchuk,Michael Ignatieff,Michael E. Ryan,Michel Camdessus,Paul Martin,Angela Merkel,Lionel Jospin,Marie Bashir,Tim Fischer,Dick Marty,Moshe Arens,Mikhail Margelov,Walter Momper,Marek Jurek,Dick Spring,Mike Crapo,Mircea Geoană,Bill Ritter,Mark Warner,Leszek Miller,Lionel Bowen,Laurenz Meyer,Pavel Grachev,John Warner,Rick Larsen,David Dreier,Ernie Fletcher,Zbigniew Messner,TotalEnergies,T. Michael Moseley,Yves Cochet,Lucien Bouchard,Alain Berset,Michel Mercier
Yevgeny Shevchuk	Yevhen Marchuk,Leonid Kravchuk,Yevgeny Primakov,Steven Mnuchin,Yves Cochet,Kevin Spacey,Steven Chu,Peter Welch,Yoani Sánchez,Yuriy Kravchenko,Pavel Grachev,Sergey Menyaylo,Sergey Aksyonov,George Shultz,Sergey Gaplikov,Reuven Rivlin,Yehudah Glick,Yuval Steinitz,Hanno Pevkur,George Weah,Yves Leterme,Lee Teng-hui,Meir Sheetrit,Heinz Fischer,Sonny Perdue,Ernie Fletcher,Helen Clark,Angelo Scola,Herbert Bösch,Gennady Troshev,Anatoly Serdyukov,Nadiya Savchenko,George Voinovich,Pavel Astakhov,Yury Chaika,Ivan Safronov,Arsen Avakov,Dov Shilansky,Nikolai Levichev,Robert Zoellick,Rumen Radev,Bogdan Klich,Steny Hoyer,Henry McLeish,Dave Weldon,Yves Guéna,Jørgen Kosmo,Jochen Borchert,Samuel Schmid,Yevgeny Shevchuk
R. Nicholas Burns	Rob Nicholson,Nicolás Maduro,Nigel Evans,Rebecca Harms,Nikolay Dobrev,Douglas Hurd,Richard Branson,Michel Barnier,Richard Bruton,T. Michael Moseley,H. R. McMaster,Marion Barry,Michael Flynn,Rick Larsen,Dan Tichon,Richard Caborn,Raymond Barre,Melissa Bean,Sheikh Hasina,Monika Harms,Chris Huhne,Albio Sires,Richard Nixon,Mário Soares,Roman Herzog,Lothar Bisky,Deutsche Bahn,Milan Kučan,Els Borst,Michal Kováč,Jānis Jurkāns,Napoleon,Rick Santorum,Nicolae Timofti,Violeta Bulc,Nicole Ameline,Justicialist Party,Iceland,African Union,Honduras,Netherlands,Duncan Kerr,Lionel Bowen,C. Boyden Gray,Patrick M. Hughes,Richard Danzig,Roland Koch,Robin Hayes,José Bono,R. Nicholas Burns
Audronius Ažubalis	Andris Piebalgs,Andrus Ansip,Antonis Samaras,Saudi Arabia,Karolos Papoulias,Andreas Loverdos,Ali Abbasov,Pedro Solbes,Antonio Inoki,Dennis Daugaard,Adrian Năstase,Jānis Jurkāns,Honduras,Monika Harms,András Bozóki,Burkina Faso,Andriy Sadovyi,António Guterres,Andranik Margaryan,Laurent Fabius,Mário Soares,Giannis Ragousis,Joseph Stalin,Turgut Özal,Rudy Giuliani,Tony Blair,Gerasimos Arsenis,Afghanistan,Ed Balls,Adrian Smith,Anson Chan,France Cukjati,Robin Hayes,Peronism,David Libai,Carlos Slim,John Abizaid,Morris Iemma,Andrew Powell,Nuon Chea,Andrew Card,Antanas Mockus,Geoff Davis,Daniel Scioli,Abdalá Bucaram,Tariq Aziz,Alexander Stubb,Electronic Arts,Turkmenistan,Audronius Ažubalis
Ewald Nowotny	Edward Snowden,Lloyd Axworthy,Els Borst,Jan Pronk,Jan Kohout,Eiki Nestor,Taro Kono,Harald Kujat,Vlad Filat,Claudia Nolte,Thad Cochran,Brian Cowen,Dan Boren,Juan Lozano,Howard Coble,Emma Bonino,Bill Young,Enda Kenny,Richard Nixon,Paul Simon,Gwen Moore,Kate Brown,Eli Lilly,Edmund Szoka,Gábor Vona,Péter Polt,Poul Nielson,Leonid Gozman,Hans Hillen,Arnold Koller,David Vitter,Gerald Klug,Richard Caborn,Ehud Olmert,Oleg Lobov,Ehud Barak,Mark Rutte,John Dawkins,Simon Coveney,Dan Tichon,Roland Koch,Ivan Rybkin,Dave Weldon,Al Gore,David Dinkins,Jean Spautz,Iliana Iotova,Dick Marty,Bill Gates,Ewald Nowotny
Joris Voorhoeve	John Boehner,Lars Barfoed,Doris Leuthard,James Florio,Chris Huhne,Julius Nyerere,Boris Nemtsov,Cory Booker,Jan Kohout,Borut Pahor,Jochen Borchert,Jordi Turull,Jānis Jurkāns,Yves Cochet,Peter Cosgrove,Sofia Voultepsi,Boyko Borisov,Jerry Moran,Jorge Illueca,Corina Casanova,Louise Arbour,José Bono,Eric Holder,Joel Villanueva,Chris Murphy,Julie Bishop,John Warner,Kirk Fordice,Robin Cook,Luis Fortuño,Jerry Brown,Joe Crowley,Jim Doyle,Mário Soares,Gwen Moore,South Korea,Els Borst,Jan Pronk,John Kufuor,John Sarbanes,Jørgen Kosmo,Harri Holkeri,Jörg Haider,Hervé Morin,Joseph Prueher,Moshe Arens,Jair Bolsonaro,Rick Boucher,George Voinovich,Joris Voorhoeve
Brunei	Burundi,Iran,Benin,France,Audi,Russia,Israel,Ukraine,Greece,Nauru,Wales,Fiji,Guam,Eritrea,Vietnam,Sony,Buryatia,Taiwan,Boeing,Henrik,Ninja,Portugal,Belgium,Argentina,Guyana,Estonia,Romania,Bulgaria,Spain,Smile,Tuva,Åland,Madrid,IBM,Sardinia,Latvia,Madeira,Sicily,Senegal,Suriname,Morocco,UNICEF,Libya,Gabon,Nokia,Nokia,Tatars,ÖBB,Meretz,Brunei
José María Gil-Robles	José María Michavila,José María Velasco Ibarra,José Montilla,José Manuel Barroso,José Ramos-Horta,Howard Coble,John Sarbanes,José Vicente Rangel,José López Portillo,José Mujica,Joe Crowley,Mário Soares,Evo Morales,John R. Allen,Carla Del Ponte,Aosta Valley,Jack Markell,Kaspar Villiger,Fernando Flores,José Bono,José E. Serrano,Pedro Solbes,Adán Martín Menis,T. Michael Moseley,John Karefa-Smart,John Warner,Josef Pröll,José Alencar,Mario Blejer,Roberta Pinotti,Joaquín Balaguer,Susana Malcorra,Leszek Miller,Jennifer Granholm,Hans Hillen,Rosen Plevneliev,Jacques Delors,Josh Frydenberg,Lothar Bisky,Joseph Stalin,Mark Rutte,Don Manzullo,Pope Francis,John F. Tierney,Jerry Weller,Mary Fallin,Gérard Collomb,John Dawkins,Wayne Gilchrest,José María Gil-Robles
